,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT_Estimate!!Total,YEAR
190,13121010303,1295.0,2015.0
191,13121010303,1205.0,2016.0
192,13121010303,1148.0,2017.0
193,13121001700,1010.0,2012.0
194,13121001700,1301.0,2013.0
195,13121001700,1391.0,2014.0
196,13121001700,1546.0,2015.0
197,13121001700,1680.0,2016.0
198,13121001700,1797.0,2017.0
199,13121000600,1627.0,2012.0
200,13121000600,1710.0,2013.0
201,13121000600,1778.0,2014.0
202,13121000600,1825.0,2015.0
203,13121000600,1780.0,2016.0
204,13121000600,1907.0,2017.0
205,13121000200,1018.0,2012.0
206,13121000200,968.0,2013.0
207,13121000200,869.0,2014.0
208,13121000200,893.0,2015.0
209,13121000200,920.0,2016.0
210,13121000200,832.0,2017.0
211,13121000400,445.0,2012.0
212,13121000400,404.0,2013.0
213,13121000400,349.0,2014.0
214,13121000400,311.0,2015.0
215,13121000400,308.0,2016.0
216,13121000400,363.0,2017.0
217,13121000100,369.0,2012.0
218,13121000100,333.0,2013.0
219,13121000100,303.0,2014.0
220,13121000100,326.0,2015.0
221,13121000100,347.0,2016.0
222,13121000100,395.0,2017.0
223,13121010206,164.0,2012.0
224,13121010206,155.0,2013.0
225,13121010206,183.0,2014.0
226,13121010206,198.0,2015.0
227,13121010206,192.0,2016.0
228,13121010206,176.0,2017.0
229,13121006602,362.0,2012.0
230,13121006602,328.0,2013.0
231,13121006602,356.0,2014.0
232,13121006602,351.0,2015.0
233,13121006602,357.0,2016.0
234,13121006602,366.0,2017.0
235,13121002900,698.0,2012.0
236,13121002900,694.0,2013.0
237,13121002900,871.0,2014.0
238,13121002900,877.0,2015.0
239,13121002900,869.0,2016.0
240,13121002900,899.0,2017.0
241,13121007705,1531.0,2012.0
242,13121007705,1489.0,2013.0
243,13121007705,1486.0,2014.0
244,13121007705,1499.0,2015.0
245,13121007705,1430.0,2016.0
246,13121007705,1343.0,2017.0
247,13121009603,1141.0,2012.0
248,13121009603,1211.0,2013.0
249,13121009603,1290.0,2014.0
250,13121009603,1373.0,2015.0
251,13121009603,1583.0,2016.0
252,13121009603,1516.0,2017.0
253,13121009601,728.0,2012.0
254,13121009601,738.0,2013.0
255,13121009601,740.0,2014.0
256,13121009601,741.0,2015.0
257,13121009601,802.0,2016.0
258,13121009601,950.0,2017.0
259,13121009801,427.0,2012.0
260,13121009801,413.0,2013.0
261,13121009801,375.0,2014.0
262,13121009801,441.0,2015.0
263,13121009801,522.0,2016.0
264,13121009801,565.0,2017.0
265,13121011900,876.0,2012.0
266,13121011900,1223.0,2013.0
267,13121011900,1389.0,2014.0
268,13121011900,1538.0,2015.0
269,13121011900,1596.0,2016.0
270,13121011900,1581.0,2017.0
271,13121001202,1289.0,2012.0
272,13121001202,1417.0,2013.0
273,13121001202,1458.0,2014.0
274,13121001202,1534.0,2015.0
275,13121001202,1538.0,2016.0
276,13121001202,1494.0,2017.0
277,13121009102,1293.0,2012.0
278,13121009102,1359.0,2013.0
279,13121009102,1316.0,2014.0
280,13121009102,1256.0,2015.0
281,13121009102,1210.0,2016.0
282,13121009102,1138.0,2017.0
283,13089020802,690.0,2012.0
284,13089020802,603.0,2013.0
285,13089020802,586.0,2014.0
286,13089020802,612.0,2015.0
287,13089020802,647.0,2016.0
288,13089020802,676.0,2017.0
289,13121001201,1474.0,2012.0
290,13121001201,1540.0,2013.0
291,13121001201,1498.0,2014.0
292,13121001201,1564.0,2015.0
293,13121001201,1680.0,2016.0
294,13121001201,1875.0,2017.0
295,13121001001,435.0,2012.0
296,13121001001,334.0,2013.0
297,13121001001,324.0,2014.0
298,13121001001,366.0,2015.0
299,13121001001,387.0,2016.0
300,13121001001,417.0,2017.0
301,13121008903,476.0,2012.0
302,13121008903,388.0,2013.0
303,13121008903,370.0,2014.0
304,13121008903,327.0,2015.0
305,13121008903,401.0,2016.0
306,13121008903,486.0,2017.0
307,13121004300,357.0,2012.0
308,13121004300,369.0,2013.0
309,13121004300,420.0,2014.0
310,13121004300,494.0,2015.0
311,13121004300,544.0,2016.0
312,13121004300,562.0,2017.0
313,13121007603,2070.0,2012.0
314,13121007603,2024.0,2013.0
315,13121007603,1918.0,2014.0
316,13121007603,1875.0,2015.0
317,13121007603,1905.0,2016.0
318,13121007603,1981.0,2017.0
319,13121007604,861.0,2012.0
320,13121007604,804.0,2013.0
321,13121007604,823.0,2014.0
322,13121007604,762.0,2015.0
323,13121007604,777.0,2016.0
324,13121007604,808.0,2017.0
325,13121007703,454.0,2012.0
326,13121007703,530.0,2013.0
327,13121007703,560.0,2014.0
328,13121007703,604.0,2015.0
329,13121007703,671.0,2016.0
330,13121007703,652.0,2017.0
331,13121007704,779.0,2012.0
332,13121007704,850.0,2013.0
333,13121007704,984.0,2014.0
334,13121007704,930.0,2015.0
335,13121007704,1027.0,2016.0
336,13121007704,1183.0,2017.0
337,13121009501,425.0,2012.0
338,13121009501,356.0,2013.0
339,13121009501,436.0,2014.0
340,13121009501,340.0,2015.0
341,13121009501,314.0,2016.0
342,13121009501,330.0,2017.0
343,13089020700,389.0,2012.0
344,13089020700,359.0,2013.0
345,13089020700,396.0,2014.0
346,13089020700,426.0,2015.0
347,13089020700,430.0,2016.0
348,13089020700,437.0,2017.0
349,13121008902,1734.0,2012.0
350,13121008902,1869.0,2013.0
351,13121008902,2284.0,2014.0
352,13121008902,2501.0,2015.0
353,13121008902,2726.0,2016.0
354,13121008902,2691.0,2017.0
355,13121009403,1988.0,2012.0
356,13121009403,2172.0,2013.0
357,13121009403,2317.0,2014.0
358,13121009403,2274.0,2015.0
359,13121009403,2139.0,2016.0
360,13121009403,2173.0,2017.0
361,13121009602,1339.0,2012.0
362,13121009602,1282.0,2013.0
363,13121009602,1342.0,2014.0
364,13121009602,1358.0,2015.0
365,13121009602,1326.0,2016.0
366,13121009602,1292.0,2017.0
367,13121009404,970.0,2012.0
368,13121009404,1046.0,2013.0
369,13121009404,1078.0,2014.0
370,13121009404,1091.0,2015.0
371,13121009404,1033.0,2016.0
372,13121009404,999.0,2017.0
373,13121009502,1141.0,2012.0
374,13121009502,1050.0,2013.0
375,13121009502,1003.0,2014.0
376,13121009502,789.0,2015.0
377,13121009502,988.0,2016.0
378,13121009502,1110.0,2017.0
379,13121010114,1547.0,2012.0
380,13121010114,1596.0,2013.0
381,13121010114,1632.0,2014.0
382,13121010114,1691.0,2015.0
383,13121010114,1769.0,2016.0
384,13121010114,1692.0,2017.0
385,13121011800,1176.0,2012.0
386,13121011800,1133.0,2013.0
387,13121011800,1195.0,2014.0
388,13121011800,1245.0,2015.0
389,13121011800,1112.0,2016.0
390,13121011800,971.0,2017.0
391,13089020600,403.0,2012.0
392,13089020600,424.0,2013.0
393,13089020600,501.0,2014.0
394,13089020600,568.0,2015.0
395,13089020600,699.0,2016.0
396,13089020600,601.0,2017.0
397,13089020400,414.0,2012.0
398,13089020400,435.0,2013.0
399,13089020400,474.0,2014.0
400,13089020400,492.0,2015.0
401,13089020400,549.0,2016.0
402,13089020400,549.0,2017.0
403,13089020500,685.0,2012.0
404,13089020500,745.0,2013.0
405,13089020500,679.0,2014.0
406,13089020500,674.0,2015.0
407,13089020500,772.0,2016.0
408,13089020500,681.0,2017.0
409,13089020801,157.0,2012.0
410,13089020801,140.0,2013.0
411,13089020801,171.0,2014.0
412,13089020801,154.0,2015.0
413,13089020801,189.0,2016.0
414,13089020801,205.0,2017.0
415,13089020900,711.0,2012.0
416,13089020900,753.0,2013.0
417,13089020900,745.0,2014.0
418,13089020900,881.0,2015.0
419,13089020900,794.0,2016.0
420,13089020900,824.0,2017.0
421,13121001002,399.0,2012.0
422,13121001002,433.0,2013.0
423,13121001002,440.0,2014.0
424,13121001002,494.0,2015.0
425,13121001002,467.0,2016.0
426,13121001002,486.0,2017.0
427,13121000700,118.0,2012.0
428,13121000700,156.0,2013.0
429,13121000700,140.0,2014.0
430,13121000700,127.0,2015.0
431,13121000700,118.0,2016.0
432,13121000700,146.0,2017.0
433,13121008700,1287.0,2012.0
434,13121008700,1335.0,2013.0
435,13121008700,1438.0,2014.0
436,13121008700,1515.0,2015.0
437,13121008700,1535.0,2016.0
438,13121008700,1726.0,2017.0
439,13089020100,135.0,2012.0
440,13089020100,153.0,2013.0
441,13089020100,182.0,2014.0
442,13089020100,160.0,2015.0
443,13089020100,223.0,2016.0
444,13089020100,205.0,2017.0
445,13089020200,537.0,2012.0
446,13089020200,461.0,2013.0
447,13089020200,461.0,2014.0
448,13089020200,454.0,2015.0
449,13089020200,417.0,2016.0
450,13089020200,402.0,2017.0
451,13089020300,485.0,2012.0
452,13089020300,482.0,2013.0
453,13089020300,482.0,2014.0
454,13089020300,528.0,2015.0
455,13089020300,479.0,2016.0
456,13089020300,468.0,2017.0
457,13121006802,402.0,2012.0
458,13121006802,413.0,2013.0
459,13121006802,415.0,2014.0
460,13121006802,406.0,2015.0
461,13121006802,408.0,2016.0
462,13121006802,453.0,2017.0
463,13121006900,598.0,2012.0
464,13121006900,574.0,2013.0
465,13121006900,562.0,2014.0
466,13121006900,595.0,2015.0
467,13121006900,626.0,2016.0
468,13121006900,591.0,2017.0
469,13121007001,628.0,2012.0
470,13121007001,630.0,2013.0
471,13121007001,754.0,2014.0
472,13121007001,797.0,2015.0
473,13121007001,817.0,2016.0
474,13121007001,835.0,2017.0
475,13121007602,514.0,2012.0
476,13121007602,580.0,2013.0
477,13121007602,562.0,2014.0
478,13121007602,590.0,2015.0
479,13121007602,538.0,2016.0
480,13121007602,539.0,2017.0
481,13121007802,1059.0,2012.0
482,13121007802,1128.0,2013.0
483,13121007802,1218.0,2014.0
484,13121007802,1293.0,2015.0
485,13121007802,1419.0,2016.0
486,13121007802,1423.0,2017.0
487,13121002300,366.0,2012.0
488,13121002300,354.0,2013.0
489,13121002300,369.0,2014.0
490,13121002300,378.0,2015.0
491,13121002300,359.0,2016.0
492,13121002300,387.0,2017.0
493,13121002100,692.0,2012.0
494,13121002100,563.0,2013.0
495,13121002100,588.0,2014.0
496,13121002100,616.0,2015.0
497,13121002100,582.0,2016.0
498,13121002100,511.0,2017.0
499,13121007806,1063.0,2012.0
500,13121007806,1093.0,2013.0
501,13121007806,1161.0,2014.0
502,13121007806,1232.0,2015.0
503,13121007806,1336.0,2016.0
504,13121007806,1108.0,2017.0
505,13121007805,792.0,2012.0
506,13121007805,672.0,2013.0
507,13121007805,698.0,2014.0
508,13121007805,719.0,2015.0
509,13121007805,733.0,2016.0
510,13121007805,783.0,2017.0
511,13121002800,880.0,2012.0
512,13121002800,995.0,2013.0
513,13121002800,1114.0,2014.0
514,13121002800,1120.0,2015.0
515,13121002800,1178.0,2016.0
516,13121002800,1244.0,2017.0
517,13121002600,339.0,2012.0
518,13121002600,386.0,2013.0
519,13121002600,429.0,2014.0
520,13121002600,463.0,2015.0
521,13121002600,493.0,2016.0
522,13121002600,535.0,2017.0
523,13121003000,614.0,2012.0
524,13121003000,748.0,2013.0
525,13121003000,768.0,2014.0
526,13121003000,852.0,2015.0
527,13121003000,869.0,2016.0
528,13121003000,888.0,2017.0
529,13121002400,475.0,2012.0
530,13121002400,403.0,2013.0
531,13121002400,452.0,2014.0
532,13121002400,498.0,2015.0
533,13121002400,528.0,2016.0
534,13121002400,542.0,2017.0
535,13121003200,687.0,2012.0
536,13121003200,681.0,2013.0
537,13121003200,644.0,2014.0
538,13121003200,568.0,2015.0
539,13121003200,467.0,2016.0
540,13121003200,376.0,2017.0
541,13121003100,349.0,2012.0
542,13121003100,371.0,2013.0
543,13121003100,401.0,2014.0
544,13121003100,414.0,2015.0
545,13121003100,464.0,2016.0
546,13121003100,491.0,2017.0
547,13121003500,484.0,2012.0
548,13121003500,427.0,2013.0
549,13121003500,419.0,2014.0
550,13121003500,379.0,2015.0
551,13121003500,401.0,2016.0
552,13121003500,335.0,2017.0
553,13121003800,195.0,2012.0
554,13121003800,139.0,2013.0
555,13121003800,178.0,2014.0
556,13121003800,178.0,2015.0
557,13121003800,157.0,2016.0
558,13121003800,146.0,2017.0
559,13121007808,1200.0,2012.0
560,13121007808,1200.0,2013.0
561,13121007808,1220.0,2014.0
562,13121007808,1254.0,2015.0
563,13121007808,1332.0,2016.0
564,13121007808,1313.0,2017.0
565,13121008000,576.0,2012.0
566,13121008000,590.0,2013.0
567,13121008000,687.0,2014.0
568,13121008000,711.0,2015.0
569,13121008000,748.0,2016.0
570,13121008000,772.0,2017.0
571,13121007807,587.0,2012.0
572,13121007807,490.0,2013.0
573,13121007807,519.0,2014.0
574,13121007807,592.0,2015.0
575,13121007807,684.0,2016.0
576,13121007807,681.0,2017.0
577,13121007900,215.0,2012.0
578,13121007900,336.0,2013.0
579,13121007900,501.0,2014.0
580,13121007900,554.0,2015.0
581,13121007900,600.0,2016.0
582,13121007900,798.0,2017.0
583,13121008201,1110.0,2012.0
584,13121008201,1145.0,2013.0
585,13121008201,1080.0,2014.0
586,13121008201,1200.0,2015.0
587,13121008201,1128.0,2016.0
588,13121008201,1138.0,2017.0
589,13121008102,1732.0,2012.0
590,13121008102,1752.0,2013.0
591,13121008102,1750.0,2014.0
592,13121008102,1814.0,2015.0
593,13121008102,1959.0,2016.0
594,13121008102,2000.0,2017.0
595,13121004800,443.0,2012.0
596,13121004800,509.0,2013.0
597,13121004800,549.0,2014.0
598,13121004800,572.0,2015.0
599,13121004800,580.0,2016.0
600,13121004800,559.0,2017.0
601,13121005000,426.0,2012.0
602,13121005000,357.0,2013.0
603,13121005000,352.0,2014.0
604,13121005000,377.0,2015.0
605,13121005000,373.0,2016.0
606,13121005000,320.0,2017.0
607,13121003900,303.0,2012.0
608,13121003900,311.0,2013.0
609,13121003900,331.0,2014.0
610,13121003900,375.0,2015.0
611,13121003900,440.0,2016.0
612,13121003900,514.0,2017.0
613,13121004100,517.0,2012.0
614,13121004100,524.0,2013.0
615,13121004100,509.0,2014.0
616,13121004100,483.0,2015.0
617,13121004100,475.0,2016.0
618,13121004100,447.0,2017.0
619,13121004900,442.0,2012.0
620,13121004900,381.0,2013.0
621,13121004900,448.0,2014.0
622,13121004900,407.0,2015.0
623,13121004900,434.0,2016.0
624,13121004900,354.0,2017.0
625,13121004000,256.0,2012.0
626,13121004000,311.0,2013.0
627,13121004000,364.0,2014.0
628,13121004000,422.0,2015.0
629,13121004000,502.0,2016.0
630,13121004000,571.0,2017.0
631,13121004400,657.0,2012.0
632,13121004400,840.0,2013.0
633,13121004400,885.0,2014.0
634,13121004400,988.0,2015.0
635,13121004400,1050.0,2016.0
636,13121004400,1080.0,2017.0
637,13121005300,512.0,2012.0
638,13121005300,533.0,2013.0
639,13121005300,520.0,2014.0
640,13121005300,542.0,2015.0
641,13121005300,471.0,2016.0
642,13121005300,465.0,2017.0
643,13121008400,887.0,2012.0
644,13121008400,920.0,2013.0
645,13121008400,966.0,2014.0
646,13121008400,938.0,2015.0
647,13121008400,948.0,2016.0
648,13121008400,1015.0,2017.0
649,13121008302,409.0,2012.0
650,13121008302,382.0,2013.0
651,13121008302,342.0,2014.0
652,13121008302,394.0,2015.0
653,13121008302,318.0,2016.0
654,13121008302,329.0,2017.0
655,13121005200,552.0,2012.0
656,13121005200,469.0,2013.0
657,13121005200,679.0,2014.0
658,13121005200,847.0,2015.0
659,13121005200,982.0,2016.0
660,13121005200,829.0,2017.0
661,13121008500,778.0,2012.0
662,13121008500,762.0,2013.0
663,13121008500,616.0,2014.0
664,13121008500,615.0,2015.0
665,13121008500,613.0,2016.0
666,13121008500,579.0,2017.0
667,13121008202,494.0,2012.0
668,13121008202,466.0,2013.0
669,13121008202,463.0,2014.0
670,13121008202,457.0,2015.0
671,13121008202,469.0,2016.0
672,13121008202,419.0,2017.0
673,13121008601,981.0,2012.0
674,13121008601,1069.0,2013.0
675,13121008601,1090.0,2014.0
676,13121008601,1125.0,2015.0
677,13121008601,1080.0,2016.0
678,13121008601,1122.0,2017.0
679,13121008301,521.0,2012.0
680,13121008301,582.0,2013.0
681,13121008301,588.0,2014.0
682,13121008301,640.0,2015.0
683,13121008301,601.0,2016.0
684,13121008301,618.0,2017.0
685,13121005501,535.0,2012.0
686,13121005501,617.0,2013.0
687,13121005501,664.0,2014.0
688,13121005501,648.0,2015.0
689,13121005501,601.0,2016.0
690,13121005501,623.0,2017.0
691,13121005700,433.0,2012.0
692,13121005700,465.0,2013.0
693,13121005700,590.0,2014.0
694,13121005700,582.0,2015.0
695,13121005700,621.0,2016.0
696,13121005700,596.0,2017.0
697,13121006400,327.0,2012.0
698,13121006400,245.0,2013.0
699,13121006400,256.0,2014.0
700,13121006400,211.0,2015.0
701,13121006400,213.0,2016.0
702,13121006400,230.0,2017.0
703,13121006300,422.0,2012.0
704,13121006300,435.0,2013.0
705,13121006300,404.0,2014.0
706,13121006300,400.0,2015.0
707,13121006300,401.0,2016.0
708,13121006300,363.0,2017.0
709,13121006100,487.0,2012.0
710,13121006100,548.0,2013.0
711,13121006100,573.0,2014.0
712,13121006100,578.0,2015.0
713,13121006100,708.0,2016.0
714,13121006100,695.0,2017.0
715,13121005502,923.0,2012.0
716,13121005502,1006.0,2013.0
717,13121005502,1020.0,2014.0
718,13121005502,966.0,2015.0
719,13121005502,861.0,2016.0
720,13121005502,902.0,2017.0
721,13121005800,265.0,2012.0
722,13121005800,311.0,2013.0
723,13121005800,368.0,2014.0
724,13121005800,388.0,2015.0
725,13121005800,368.0,2016.0
726,13121005800,346.0,2017.0
727,13121006500,443.0,2012.0
728,13121006500,388.0,2013.0
729,13121006500,385.0,2014.0
730,13121006500,427.0,2015.0
731,13121006500,566.0,2016.0
732,13121006500,613.0,2017.0
733,13121008602,411.0,2012.0
734,13121008602,290.0,2013.0
735,13121008602,275.0,2014.0
736,13121008602,305.0,2015.0
737,13121008602,345.0,2016.0
738,13121008602,404.0,2017.0
739,13121008800,596.0,2012.0
740,13121008800,638.0,2013.0
741,13121008800,483.0,2014.0
742,13121008800,532.0,2015.0
743,13121008800,666.0,2016.0
744,13121008800,674.0,2017.0
745,13121009200,2351.0,2012.0
746,13121009200,2374.0,2013.0
747,13121009200,2756.0,2014.0
748,13121009200,2732.0,2015.0
749,13121009200,2740.0,2016.0
750,13121009200,2633.0,2017.0
751,13121007500,1204.0,2012.0
752,13121007500,1170.0,2013.0
753,13121007500,1150.0,2014.0
754,13121007500,1154.0,2015.0
755,13121007500,1060.0,2016.0
756,13121007500,1046.0,2017.0
757,13121008101,120.0,2012.0
758,13121008101,122.0,2013.0
759,13121008101,135.0,2014.0
760,13121008101,134.0,2015.0
761,13121008101,127.0,2016.0
762,13121008101,123.0,2017.0
763,13121006000,788.0,2012.0
764,13121006000,774.0,2013.0
765,13121006000,711.0,2014.0
766,13121006000,725.0,2015.0
767,13121006000,812.0,2016.0
768,13121006000,809.0,2017.0
