,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!7-or-more-person households,YEAR
42,13121009603,75987.0,56046.0,131895.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
43,13121009601,94265.0,71524.0,105417.0,115417.0,136071.0,-666666666.0,-666666666.0,-666666666.0,2017.0
44,13121009801,105536.0,48700.0,164375.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
45,13121011900,26032.0,21184.0,43194.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
46,13121001202,83063.0,69096.0,120375.0,138352.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
47,13121009102,54174.0,34256.0,103110.0,247672.0,250001.0,243125.0,-666666666.0,-666666666.0,2017.0
48,13089020802,57204.0,17311.0,97891.0,122426.0,61641.0,-666666666.0,-666666666.0,93173.0,2017.0
49,13121001201,58603.0,39643.0,125795.0,150000.0,156316.0,-666666666.0,-666666666.0,-666666666.0,2017.0
50,13121001001,80132.0,57386.0,104706.0,96146.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
51,13121008903,71548.0,72718.0,126979.0,73750.0,32222.0,40568.0,-666666666.0,-666666666.0,2017.0
52,13121004300,28287.0,35375.0,23071.0,-666666666.0,24688.0,-666666666.0,-666666666.0,-666666666.0,2017.0
53,13121007603,13792.0,12059.0,24080.0,15893.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
54,13121007604,18537.0,12179.0,21212.0,32899.0,-666666666.0,23636.0,-666666666.0,250001.0,2017.0
55,13121007703,42150.0,29792.0,47734.0,35263.0,53929.0,-666666666.0,-666666666.0,-666666666.0,2017.0
56,13121007704,30497.0,20375.0,30852.0,55052.0,54896.0,-666666666.0,58783.0,-666666666.0,2017.0
57,13121009501,149688.0,52500.0,163984.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
58,13089020700,53833.0,27935.0,105179.0,116000.0,109063.0,-666666666.0,-666666666.0,-666666666.0,2017.0
59,13121008902,57142.0,52706.0,72609.0,100652.0,140750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
60,13121009403,45102.0,38221.0,65164.0,50714.0,173929.0,-666666666.0,-666666666.0,-666666666.0,2017.0
61,13121009602,101689.0,65112.0,135859.0,206944.0,231548.0,-666666666.0,-666666666.0,-666666666.0,2017.0
62,13121009404,73649.0,52186.0,111641.0,100448.0,138523.0,250001.0,-666666666.0,-666666666.0,2017.0
63,13121009502,89298.0,62232.0,103857.0,115250.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
64,13121010114,66186.0,48100.0,112642.0,-666666666.0,250001.0,169813.0,-666666666.0,-666666666.0,2017.0
65,13121011800,16087.0,-666666666.0,36635.0,-666666666.0,42617.0,-666666666.0,-666666666.0,-666666666.0,2017.0
66,13089020600,43295.0,32250.0,77708.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
67,13089020400,78681.0,46616.0,105500.0,128438.0,223750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
68,13089020500,55208.0,-666666666.0,92826.0,78000.0,116319.0,60417.0,-666666666.0,-666666666.0,2017.0
69,13089020801,92594.0,63063.0,114007.0,124750.0,164286.0,-666666666.0,78674.0,-666666666.0,2017.0
70,13089020900,66536.0,45517.0,72191.0,159583.0,149643.0,-666666666.0,-666666666.0,-666666666.0,2017.0
71,13121001002,27250.0,20417.0,49167.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
72,13121000700,71214.0,51397.0,103250.0,76250.0,151750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
73,13121008700,29583.0,25548.0,34512.0,40184.0,41193.0,28750.0,-666666666.0,-666666666.0,2017.0
