,GEOID,YEAR
0,13121006601,2012.0
1,13121006601,2013.0
2,13121006601,2014.0
3,13121006601,2015.0
4,13121006601,2016.0
5,13121006601,2017.0
6,13121006700,2012.0
7,13121006700,2013.0
8,13121006700,2014.0
9,13121006700,2015.0
10,13121006700,2016.0
11,13121006700,2017.0
12,13121009300,2012.0
13,13121009300,2013.0
14,13121009300,2014.0
15,13121009300,2015.0
16,13121009300,2016.0
17,13121009300,2017.0
18,13121009402,2012.0
19,13121009402,2013.0
20,13121009402,2014.0
21,13121009402,2015.0
22,13121009402,2016.0
23,13121009402,2017.0
25,13089023700,2012.0
26,13089023700,2013.0
27,13089023700,2014.0
28,13089023700,2015.0
29,13089023700,2016.0
30,13089023700,2017.0
31,13121001300,2012.0
32,13121001300,2013.0
33,13121001300,2014.0
34,13121001300,2015.0
35,13121001300,2016.0
36,13121001300,2017.0
37,13121001400,2012.0
38,13121001400,2013.0
39,13121001400,2014.0
40,13121001400,2015.0
41,13121001400,2016.0
42,13121001400,2017.0
43,13121001800,2012.0
44,13121001800,2013.0
45,13121001800,2014.0
46,13121001800,2015.0
47,13121001800,2016.0
48,13121001800,2017.0
49,13121001600,2012.0
50,13121001600,2013.0
51,13121001600,2014.0
52,13121001600,2015.0
53,13121001600,2016.0
54,13121001600,2017.0
55,13121001500,2012.0
56,13121001500,2013.0
57,13121001500,2014.0
58,13121001500,2015.0
59,13121001500,2016.0
60,13121001500,2017.0
61,13121001900,2012.0
62,13121001900,2013.0
63,13121001900,2014.0
64,13121001900,2015.0
65,13121001900,2016.0
66,13121001900,2017.0
67,13121000500,2012.0
68,13121000500,2013.0
69,13121000500,2014.0
70,13121000500,2015.0
71,13121000500,2016.0
72,13121000500,2017.0
73,13121003600,2012.0
74,13121003600,2013.0
75,13121003600,2014.0
76,13121003600,2015.0
77,13121003600,2016.0
78,13121003600,2017.0
79,13121010002,2012.0
80,13121010002,2013.0
81,13121010002,2014.0
82,13121010002,2015.0
83,13121010002,2016.0
84,13121010002,2017.0
85,13121010001,2012.0
86,13121010001,2013.0
87,13121010001,2014.0
88,13121010001,2015.0
89,13121010001,2016.0
90,13121010001,2017.0
91,13121009802,2012.0
92,13121009802,2013.0
93,13121009802,2014.0
94,13121009802,2015.0
95,13121009802,2016.0
96,13121009802,2017.0
97,13121006801,2012.0
98,13121006801,2013.0
99,13121006801,2014.0
100,13121006801,2015.0
101,13121006801,2016.0
102,13121006801,2017.0
103,13121009700,2012.0
104,13121009700,2013.0
105,13121009700,2014.0
106,13121009700,2015.0
107,13121009700,2016.0
108,13121009700,2017.0
109,13121007100,2012.0
110,13121007100,2013.0
111,13121007100,2014.0
112,13121007100,2015.0
113,13121007100,2016.0
114,13121007100,2017.0
115,13121006200,2012.0
116,13121006200,2013.0
117,13121006200,2014.0
118,13121006200,2015.0
119,13121006200,2016.0
120,13121006200,2017.0
121,13121001100,2012.0
122,13121001100,2013.0
123,13121001100,2014.0
124,13121001100,2015.0
125,13121001100,2016.0
126,13121001100,2017.0
127,13121002500,2012.0
128,13121002500,2013.0
129,13121002500,2014.0
130,13121002500,2015.0
131,13121002500,2016.0
132,13121002500,2017.0
133,13121004200,2012.0
134,13121004200,2013.0
135,13121004200,2014.0
136,13121004200,2015.0
137,13121004200,2016.0
138,13121004200,2017.0
139,13121009101,2012.0
140,13121009101,2013.0
141,13121009101,2014.0
142,13121009101,2015.0
143,13121009101,2016.0
144,13121009101,2017.0
145,13121008904,2012.0
146,13121008904,2013.0
147,13121008904,2014.0
148,13121008904,2015.0
149,13121008904,2016.0
150,13121008904,2017.0
151,13121003700,2012.0
152,13121003700,2013.0
153,13121003700,2014.0
154,13121003700,2015.0
155,13121003700,2016.0
156,13121003700,2017.0
157,13121010211,2012.0
158,13121010211,2013.0
159,13121010211,2014.0
160,13121010211,2015.0
161,13121010211,2016.0
162,13121010211,2017.0
163,13121012000,2012.0
164,13121012000,2013.0
165,13121012000,2014.0
166,13121012000,2015.0
167,13121012000,2016.0
168,13121012000,2017.0
169,13121009000,2012.0
170,13121009000,2013.0
171,13121009000,2014.0
172,13121009000,2015.0
173,13121009000,2016.0
174,13121009000,2017.0
175,13121007002,2012.0
176,13121007002,2013.0
177,13121007002,2014.0
178,13121007002,2015.0
179,13121007002,2016.0
180,13121007002,2017.0
181,13121009900,2012.0
182,13121009900,2013.0
183,13121009900,2014.0
184,13121009900,2015.0
185,13121009900,2016.0
186,13121009900,2017.0
187,13121010303,2012.0
188,13121010303,2013.0
189,13121010303,2014.0
190,13121010303,2015.0
191,13121010303,2016.0
192,13121010303,2017.0
193,13121001700,2012.0
194,13121001700,2013.0
195,13121001700,2014.0
196,13121001700,2015.0
197,13121001700,2016.0
198,13121001700,2017.0
199,13121000600,2012.0
200,13121000600,2013.0
201,13121000600,2014.0
202,13121000600,2015.0
203,13121000600,2016.0
204,13121000600,2017.0
205,13121000200,2012.0
206,13121000200,2013.0
207,13121000200,2014.0
208,13121000200,2015.0
209,13121000200,2016.0
210,13121000200,2017.0
211,13121000400,2012.0
212,13121000400,2013.0
213,13121000400,2014.0
214,13121000400,2015.0
215,13121000400,2016.0
216,13121000400,2017.0
217,13121000100,2012.0
218,13121000100,2013.0
219,13121000100,2014.0
220,13121000100,2015.0
221,13121000100,2016.0
222,13121000100,2017.0
223,13121010206,2012.0
224,13121010206,2013.0
225,13121010206,2014.0
226,13121010206,2015.0
227,13121010206,2016.0
228,13121010206,2017.0
229,13121006602,2012.0
230,13121006602,2013.0
231,13121006602,2014.0
232,13121006602,2015.0
233,13121006602,2016.0
234,13121006602,2017.0
235,13121002900,2012.0
236,13121002900,2013.0
237,13121002900,2014.0
238,13121002900,2015.0
239,13121002900,2016.0
240,13121002900,2017.0
