GEOID,YEAR,Income,Rent as % of Income,HHs
13121006700,2016,"$10,000 to $19,999",25.0 to 29.9 percent,9
13121006700,2016,"$10,000 to $19,999",30.0 to 34.9 percent,28
13121006700,2016,"$10,000 to $19,999",35.0 to 39.9 percent,34
13121006700,2016,"$10,000 to $19,999",40.0 to 49.9 percent,20
13121006700,2016,"$10,000 to $19,999",50.0 percent or more,231
13121006700,2016,"$20,000 to $34,999",Less than 20.0 percent,0
13121006700,2016,"$20,000 to $34,999",20.0 to 24.9 percent,0
13121006700,2016,"$20,000 to $34,999",25.0 to 29.9 percent,34
13121006700,2016,"$20,000 to $34,999",30.0 to 34.9 percent,0
13121006700,2016,"$20,000 to $34,999",35.0 to 39.9 percent,10
13121006700,2016,"$20,000 to $34,999",40.0 to 49.9 percent,75
13121006700,2016,"$20,000 to $34,999",50.0 percent or more,45
13121006700,2016,"$35,000 to $49,999",Less than 20.0 percent,30
13121006700,2016,"$35,000 to $49,999",20.0 to 24.9 percent,0
13121006700,2016,"$35,000 to $49,999",25.0 to 29.9 percent,13
13121006700,2016,"$35,000 to $49,999",30.0 to 34.9 percent,0
13121006700,2016,"$35,000 to $49,999",35.0 to 39.9 percent,19
13121006700,2016,"$35,000 to $49,999",40.0 to 49.9 percent,23
13121006700,2016,"$35,000 to $49,999",50.0 percent or more,0
13121006700,2016,"$50,000 to $74,999",Less than 20.0 percent,49
13121006700,2016,"$50,000 to $74,999",20.0 to 24.9 percent,30
13121006700,2016,"$50,000 to $74,999",25.0 to 29.9 percent,0
13121006700,2016,"$50,000 to $74,999",30.0 to 34.9 percent,9
13121006700,2016,"$50,000 to $74,999",35.0 to 39.9 percent,15
13121006700,2016,"$50,000 to $74,999",40.0 to 49.9 percent,0
13121006700,2016,"$50,000 to $74,999",50.0 percent or more,0
13121006700,2016,"$75,000 to $99,999",Less than 20.0 percent,23
13121006700,2016,"$75,000 to $99,999",20.0 to 24.9 percent,0
13121006700,2016,"$75,000 to $99,999",25.0 to 29.9 percent,0
13121006700,2016,"$75,000 to $99,999",30.0 to 34.9 percent,0
13121006700,2016,"$75,000 to $99,999",35.0 to 39.9 percent,0
13121006700,2016,"$75,000 to $99,999",40.0 to 49.9 percent,0
13121006700,2016,"$75,000 to $99,999",50.0 percent or more,0
13121006700,2016,"$100,000 or more",Less than 20.0 percent,11
13121006700,2016,"$100,000 or more",20.0 to 24.9 percent,0
13121006700,2016,"$100,000 or more",25.0 to 29.9 percent,0
13121006700,2016,"$100,000 or more",30.0 to 34.9 percent,0
13121006700,2016,"$100,000 or more",35.0 to 39.9 percent,0
13121006700,2016,"$100,000 or more",40.0 to 49.9 percent,0
