,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
191,13121009101,1305.0,2016.0
192,13121009101,1329.0,2017.0
193,13121008904,1074.0,2010.0
194,13121008904,1100.0,2011.0
195,13121008904,1190.0,2012.0
196,13121008904,1178.0,2013.0
197,13121008904,1191.0,2014.0
198,13121008904,1162.0,2015.0
199,13121008904,1188.0,2016.0
200,13121008904,1220.0,2017.0
201,13121003700,287.0,2010.0
202,13121003700,583.0,2011.0
203,13121003700,-666666666.0,2012.0
204,13121003700,-666666666.0,2013.0
205,13121003700,-666666666.0,2014.0
206,13121003700,702.0,2015.0
207,13121003700,-666666666.0,2016.0
208,13121003700,454.0,2017.0
209,13121010211,911.0,2010.0
210,13121010211,930.0,2011.0
211,13121010211,926.0,2012.0
212,13121010211,947.0,2013.0
213,13121010211,898.0,2014.0
214,13121010211,897.0,2015.0
215,13121010211,1017.0,2016.0
216,13121010211,1036.0,2017.0
217,13121012000,703.0,2010.0
218,13121012000,718.0,2011.0
219,13121012000,691.0,2012.0
220,13121012000,640.0,2013.0
221,13121012000,594.0,2014.0
222,13121012000,650.0,2015.0
223,13121012000,751.0,2016.0
224,13121012000,722.0,2017.0
225,13121009000,1079.0,2010.0
226,13121009000,1059.0,2011.0
227,13121009000,1095.0,2012.0
228,13121009000,1147.0,2013.0
229,13121009000,1157.0,2014.0
230,13121009000,1220.0,2015.0
231,13121009000,1251.0,2016.0
232,13121009000,1317.0,2017.0
233,13121007002,849.0,2010.0
234,13121007002,895.0,2011.0
235,13121007002,931.0,2012.0
236,13121007002,923.0,2013.0
237,13121007002,954.0,2014.0
238,13121007002,923.0,2015.0
239,13121007002,884.0,2016.0
240,13121007002,910.0,2017.0
241,13121009900,1148.0,2010.0
242,13121009900,1150.0,2011.0
243,13121009900,1152.0,2012.0
244,13121009900,1199.0,2013.0
245,13121009900,1251.0,2014.0
246,13121009900,1273.0,2015.0
247,13121009900,1261.0,2016.0
248,13121009900,1326.0,2017.0
249,13121010303,1042.0,2010.0
250,13121010303,1015.0,2011.0
251,13121010303,1065.0,2012.0
252,13121010303,1099.0,2013.0
253,13121010303,1128.0,2014.0
254,13121010303,1074.0,2015.0
255,13121010303,1103.0,2016.0
256,13121010303,1124.0,2017.0
257,13121001700,837.0,2010.0
258,13121001700,767.0,2011.0
259,13121001700,853.0,2012.0
260,13121001700,1025.0,2013.0
261,13121001700,1092.0,2014.0
262,13121001700,1117.0,2015.0
263,13121001700,1253.0,2016.0
264,13121001700,1377.0,2017.0
265,13121000600,1160.0,2010.0
266,13121000600,1136.0,2011.0
267,13121000600,1159.0,2012.0
268,13121000600,1157.0,2013.0
269,13121000600,1196.0,2014.0
270,13121000600,1238.0,2015.0
271,13121000600,1275.0,2016.0
272,13121000600,1389.0,2017.0
273,13121000200,1009.0,2010.0
274,13121000200,1104.0,2011.0
275,13121000200,1061.0,2012.0
276,13121000200,1083.0,2013.0
277,13121000200,1074.0,2014.0
278,13121000200,1136.0,2015.0
279,13121000200,1171.0,2016.0
280,13121000200,1247.0,2017.0
281,13121000400,1054.0,2010.0
282,13121000400,1138.0,2011.0
283,13121000400,1155.0,2012.0
284,13121000400,1215.0,2013.0
285,13121000400,1226.0,2014.0
286,13121000400,1340.0,2015.0
287,13121000400,1325.0,2016.0
288,13121000400,1580.0,2017.0
289,13121000100,1332.0,2010.0
290,13121000100,1294.0,2011.0
291,13121000100,1185.0,2012.0
292,13121000100,924.0,2013.0
293,13121000100,1099.0,2014.0
294,13121000100,1088.0,2015.0
295,13121000100,1352.0,2016.0
296,13121000100,1778.0,2017.0
297,13121010206,1278.0,2010.0
298,13121010206,1231.0,2011.0
299,13121010206,1383.0,2012.0
300,13121010206,1367.0,2013.0
301,13121010206,1381.0,2014.0
302,13121010206,967.0,2015.0
303,13121010206,1125.0,2016.0
304,13121010206,1107.0,2017.0
305,13121006602,587.0,2010.0
306,13121006602,667.0,2011.0
307,13121006602,675.0,2012.0
308,13121006602,670.0,2013.0
309,13121006602,745.0,2014.0
310,13121006602,747.0,2015.0
311,13121006602,798.0,2016.0
312,13121006602,799.0,2017.0
313,13121002900,1009.0,2010.0
314,13121002900,1060.0,2011.0
315,13121002900,1152.0,2012.0
316,13121002900,1178.0,2013.0
317,13121002900,1157.0,2014.0
318,13121002900,1226.0,2015.0
319,13121002900,1238.0,2016.0
320,13121002900,1279.0,2017.0
321,13121007705,817.0,2010.0
322,13121007705,806.0,2011.0
323,13121007705,823.0,2012.0
324,13121007705,736.0,2013.0
325,13121007705,776.0,2014.0
326,13121007705,827.0,2015.0
327,13121007705,823.0,2016.0
328,13121007705,850.0,2017.0
329,13121009603,864.0,2010.0
330,13121009603,937.0,2011.0
331,13121009603,936.0,2012.0
332,13121009603,1000.0,2013.0
333,13121009603,997.0,2014.0
334,13121009603,1012.0,2015.0
335,13121009603,1051.0,2016.0
336,13121009603,1114.0,2017.0
337,13121009601,1198.0,2010.0
338,13121009601,1227.0,2011.0
339,13121009601,1267.0,2012.0
340,13121009601,1369.0,2013.0
341,13121009601,1400.0,2014.0
342,13121009601,1499.0,2015.0
343,13121009601,1470.0,2016.0
344,13121009601,1501.0,2017.0
345,13121009801,1131.0,2010.0
346,13121009801,1064.0,2011.0
347,13121009801,1195.0,2012.0
348,13121009801,1096.0,2013.0
349,13121009801,425.0,2014.0
350,13121009801,407.0,2015.0
351,13121009801,1074.0,2016.0
352,13121009801,1143.0,2017.0
353,13121011900,747.0,2010.0
354,13121011900,889.0,2011.0
355,13121011900,872.0,2012.0
356,13121011900,841.0,2013.0
357,13121011900,904.0,2014.0
358,13121011900,910.0,2015.0
359,13121011900,890.0,2016.0
360,13121011900,853.0,2017.0
361,13121001202,1075.0,2010.0
362,13121001202,1057.0,2011.0
363,13121001202,1092.0,2012.0
364,13121001202,1159.0,2013.0
365,13121001202,1176.0,2014.0
366,13121001202,1178.0,2015.0
367,13121001202,1175.0,2016.0
368,13121001202,1228.0,2017.0
369,13121009102,783.0,2010.0
370,13121009102,762.0,2011.0
371,13121009102,842.0,2012.0
372,13121009102,801.0,2013.0
373,13121009102,860.0,2014.0
374,13121009102,872.0,2015.0
375,13121009102,960.0,2016.0
