,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,000 to $3,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,500 or more",CONTRACT RENT_Estimate!!Total!!No cash rent,YEAR
15,13089023700,1398.0,1398.0,78.0,39.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,16.0,74.0,122.0,209.0,121.0,23.0,238.0,62.0,295.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,2017.0
16,13121001300,1286.0,1286.0,30.0,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,63.0,42.0,113.0,122.0,73.0,118.0,127.0,257.0,148.0,33.0,26.0,0.0,0.0,0.0,0.0,2015.0
17,13121001300,1347.0,1347.0,27.0,46.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,69.0,17.0,137.0,111.0,135.0,128.0,229.0,239.0,82.0,91.0,21.0,0.0,0.0,0.0,0.0,2016.0
18,13121001300,1391.0,1391.0,0.0,40.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,103.0,71.0,73.0,122.0,120.0,187.0,317.0,185.0,119.0,27.0,0.0,0.0,0.0,0.0,2017.0
19,13121001400,826.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,51.0,16.0,74.0,19.0,146.0,79.0,235.0,57.0,109.0,0.0,0.0,0.0,0.0,0.0,2015.0
20,13121001400,775.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.0,86.0,17.0,114.0,37.0,216.0,88.0,138.0,14.0,0.0,0.0,0.0,0.0,2016.0
21,13121001400,711.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,41.0,22.0,83.0,53.0,207.0,116.0,145.0,20.0,0.0,0.0,0.0,0.0,2017.0
22,13121001800,2063.0,2048.0,172.0,50.0,187.0,126.0,119.0,17.0,15.0,47.0,63.0,92.0,30.0,47.0,75.0,11.0,55.0,175.0,130.0,415.0,191.0,31.0,0.0,0.0,0.0,0.0,15.0,2015.0
23,13121001800,2273.0,2253.0,199.0,45.0,166.0,165.0,111.0,65.0,35.0,66.0,59.0,127.0,43.0,11.0,123.0,9.0,53.0,117.0,90.0,497.0,162.0,110.0,0.0,0.0,0.0,0.0,20.0,2016.0
24,13121001800,2138.0,2108.0,172.0,32.0,79.0,240.0,63.0,51.0,14.0,84.0,12.0,142.0,32.0,0.0,72.0,51.0,28.0,102.0,38.0,570.0,228.0,98.0,0.0,0.0,0.0,0.0,30.0,2017.0
25,13121001600,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,15.0,21.0,73.0,57.0,148.0,66.0,47.0,211.0,191.0,126.0,0.0,0.0,0.0,0.0,0.0,2015.0
26,13121001600,1016.0,1016.0,0.0,0.0,9.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,11.0,17.0,58.0,40.0,143.0,109.0,36.0,160.0,249.0,150.0,0.0,0.0,0.0,0.0,0.0,2016.0
27,13121001600,1002.0,1002.0,0.0,0.0,10.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,17.0,45.0,38.0,92.0,114.0,67.0,41.0,285.0,204.0,50.0,0.0,8.0,0.0,0.0,2017.0
28,13121001500,1721.0,1687.0,0.0,0.0,60.0,117.0,36.0,0.0,19.0,15.0,72.0,26.0,99.0,79.0,72.0,180.0,98.0,270.0,125.0,201.0,119.0,68.0,31.0,0.0,0.0,0.0,34.0,2015.0
29,13121001500,1663.0,1627.0,0.0,12.0,56.0,84.0,42.0,0.0,16.0,15.0,73.0,30.0,87.0,81.0,80.0,154.0,98.0,227.0,96.0,237.0,172.0,26.0,31.0,0.0,10.0,0.0,36.0,2016.0
30,13121001500,1547.0,1516.0,0.0,19.0,56.0,96.0,33.0,0.0,0.0,0.0,31.0,42.0,96.0,58.0,153.0,70.0,96.0,157.0,106.0,258.0,135.0,35.0,46.0,0.0,29.0,0.0,31.0,2017.0
31,13121001900,875.0,841.0,5.0,0.0,0.0,9.0,32.0,0.0,0.0,9.0,16.0,0.0,0.0,19.0,35.0,22.0,76.0,71.0,113.0,245.0,124.0,34.0,10.0,21.0,0.0,0.0,34.0,2015.0
32,13121001900,896.0,875.0,7.0,0.0,9.0,0.0,35.0,0.0,0.0,9.0,16.0,0.0,0.0,20.0,40.0,0.0,60.0,69.0,138.0,245.0,156.0,45.0,9.0,17.0,0.0,0.0,21.0,2016.0
33,13121001900,910.0,891.0,25.0,0.0,10.0,0.0,37.0,15.0,0.0,10.0,78.0,0.0,0.0,19.0,0.0,33.0,0.0,48.0,62.0,252.0,185.0,79.0,18.0,20.0,0.0,0.0,19.0,2017.0
34,13121000500,1296.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,17.0,73.0,50.0,0.0,49.0,158.0,404.0,113.0,62.0,201.0,12.0,40.0,11.0,50.0,2015.0
35,13121000500,1300.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0,34.0,69.0,61.0,0.0,148.0,139.0,333.0,149.0,55.0,127.0,12.0,44.0,0.0,82.0,2016.0
36,13121000500,1316.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,75.0,13.0,15.0,65.0,0.0,65.0,76.0,113.0,266.0,266.0,78.0,108.0,29.0,36.0,12.0,75.0,2017.0
37,13121003600,597.0,597.0,15.0,0.0,0.0,47.0,8.0,12.0,23.0,5.0,9.0,22.0,103.0,84.0,60.0,19.0,47.0,43.0,18.0,68.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,2015.0
38,13121003600,561.0,561.0,29.0,0.0,0.0,41.0,15.0,12.0,32.0,5.0,5.0,14.0,24.0,105.0,54.0,20.0,13.0,76.0,24.0,55.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,2016.0
39,13121003600,620.0,620.0,10.0,0.0,0.0,117.0,10.0,19.0,0.0,17.0,0.0,5.0,42.0,56.0,41.0,18.0,21.0,72.0,79.0,55.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,2017.0
40,13121010002,971.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,258.0,321.0,112.0,111.0,40.0,23.0,84.0,0.0,2015.0
