,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT_Estimate!!Total,YEAR
622,13121010205,411.0,2017.0
623,13121010206,176.0,2017.0
624,13121010208,1765.0,2017.0
625,13121010209,2016.0,2017.0
626,13121010210,1193.0,2017.0
627,13121010211,179.0,2017.0
628,13121010212,1060.0,2017.0
629,13121010301,1777.0,2017.0
630,13121010303,1148.0,2017.0
631,13121010304,741.0,2017.0
632,13121010400,673.0,2017.0
633,13121010507,1405.0,2017.0
634,13121010508,228.0,2017.0
635,13121010510,3551.0,2017.0
636,13121010511,679.0,2017.0
637,13121010512,1932.0,2017.0
638,13121010513,2117.0,2017.0
639,13121010514,1726.0,2017.0
640,13121010515,950.0,2017.0
641,13121010516,821.0,2017.0
642,13121010601,909.0,2017.0
643,13121010603,1216.0,2017.0
644,13121010604,875.0,2017.0
645,13121010800,1649.0,2017.0
646,13121011000,672.0,2017.0
647,13121011100,442.0,2017.0
648,13121011201,1013.0,2017.0
649,13121011202,912.0,2017.0
650,13121011301,276.0,2017.0
651,13121011303,2536.0,2017.0
652,13121011305,1822.0,2017.0
653,13121011306,595.0,2017.0
654,13121011405,1517.0,2017.0
655,13121011410,592.0,2017.0
656,13121011411,792.0,2017.0
657,13121011412,1382.0,2017.0
658,13121011414,1556.0,2017.0
659,13121011416,292.0,2017.0
660,13121011417,461.0,2017.0
661,13121011418,165.0,2017.0
662,13121011419,377.0,2017.0
663,13121011420,1789.0,2017.0
664,13121011421,1260.0,2017.0
665,13121011422,597.0,2017.0
666,13121011423,421.0,2017.0
667,13121011424,296.0,2017.0
668,13121011425,496.0,2017.0
669,13121011426,123.0,2017.0
670,13121011427,291.0,2017.0
671,13121011503,259.0,2017.0
672,13121011504,239.0,2017.0
673,13121011505,100.0,2017.0
674,13121011506,139.0,2017.0
675,13121011610,551.0,2017.0
676,13121011611,2183.0,2017.0
677,13121011612,55.0,2017.0
678,13121011613,773.0,2017.0
679,13121011614,2946.0,2017.0
680,13121011615,337.0,2017.0
681,13121011616,1673.0,2017.0
682,13121011617,674.0,2017.0
683,13121011618,569.0,2017.0
684,13121011619,1915.0,2017.0
685,13121011620,514.0,2017.0
686,13121011621,644.0,2017.0
687,13121011622,375.0,2017.0
688,13121011623,1221.0,2017.0
689,13121011624,11.0,2017.0
690,13121011625,686.0,2017.0
691,13121011626,1269.0,2017.0
692,13121011800,971.0,2017.0
693,13121011900,1581.0,2017.0
694,13121012000,933.0,2017.0
695,13121012300,611.0,2017.0
945,13089980000,0.0,2017.0
946,13121003700,110.0,2017.0
947,13121980000,0.0,2017.0
