,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
566,13121007802,3442.0,2106.0,908.0,1198.0,63.0,1135.0,1336.0,1119.0,217.0,2017.0
567,13121007805,1195.0,589.0,181.0,408.0,63.0,345.0,606.0,560.0,46.0,2017.0
568,13121007806,2294.0,1271.0,617.0,654.0,57.0,597.0,1023.0,1023.0,0.0,2017.0
569,13121007807,996.0,696.0,193.0,503.0,62.0,441.0,300.0,300.0,0.0,2017.0
570,13121007808,1451.0,936.0,77.0,859.0,15.0,844.0,515.0,420.0,95.0,2017.0
571,13121007900,2159.0,1242.0,596.0,646.0,85.0,561.0,917.0,842.0,75.0,2017.0
572,13121008000,1915.0,1259.0,537.0,722.0,191.0,531.0,656.0,558.0,98.0,2017.0
573,13121008101,432.0,304.0,96.0,208.0,75.0,133.0,128.0,110.0,18.0,2017.0
574,13121008102,2693.0,1297.0,386.0,911.0,203.0,708.0,1396.0,1178.0,218.0,2017.0
575,13121008201,2358.0,1064.0,401.0,663.0,80.0,583.0,1294.0,1236.0,58.0,2017.0
576,13121008202,741.0,522.0,124.0,398.0,69.0,329.0,219.0,207.0,12.0,2017.0
577,13121008301,927.0,504.0,134.0,370.0,73.0,297.0,423.0,384.0,39.0,2017.0
578,13121008302,671.0,287.0,115.0,172.0,56.0,116.0,384.0,350.0,34.0,2017.0
579,13121008400,1215.0,412.0,138.0,274.0,75.0,199.0,803.0,712.0,91.0,2017.0
580,13121008500,1048.0,528.0,126.0,402.0,132.0,270.0,520.0,462.0,58.0,2017.0
581,13121008601,1534.0,857.0,220.0,637.0,91.0,546.0,677.0,626.0,51.0,2017.0
582,13121008602,587.0,327.0,108.0,219.0,83.0,136.0,260.0,249.0,11.0,2017.0
583,13121008700,2362.0,879.0,283.0,596.0,89.0,507.0,1483.0,1294.0,189.0,2017.0
584,13121008800,1935.0,1133.0,803.0,330.0,88.0,242.0,802.0,689.0,113.0,2017.0
585,13121008902,3761.0,957.0,743.0,214.0,130.0,84.0,2804.0,2235.0,569.0,2017.0
586,13121008903,784.0,282.0,148.0,134.0,22.0,112.0,502.0,431.0,71.0,2017.0
587,13121008904,2615.0,1115.0,773.0,342.0,57.0,285.0,1500.0,1312.0,188.0,2017.0
588,13121009000,2092.0,1156.0,1070.0,86.0,17.0,69.0,936.0,635.0,301.0,2017.0
589,13121009101,2826.0,708.0,613.0,95.0,0.0,95.0,2118.0,1618.0,500.0,2017.0
590,13121009102,1755.0,523.0,477.0,46.0,11.0,35.0,1232.0,1033.0,199.0,2017.0
591,13121009200,3446.0,1040.0,787.0,253.0,79.0,174.0,2406.0,1922.0,484.0,2017.0
592,13121009300,2439.0,964.0,823.0,141.0,19.0,122.0,1475.0,1101.0,374.0,2017.0
593,13121009402,2487.0,617.0,418.0,199.0,68.0,131.0,1870.0,1244.0,626.0,2017.0
594,13121009403,2787.0,676.0,298.0,378.0,96.0,282.0,2111.0,1765.0,346.0,2017.0
595,13121009404,2360.0,824.0,686.0,138.0,15.0,123.0,1536.0,1232.0,304.0,2017.0
596,13121009501,1651.0,1067.0,1015.0,52.0,32.0,20.0,584.0,520.0,64.0,2017.0
597,13121009502,1896.0,689.0,575.0,114.0,15.0,99.0,1207.0,1035.0,172.0,2017.0
598,13121009601,1388.0,384.0,257.0,127.0,42.0,85.0,1004.0,714.0,290.0,2017.0
599,13121009602,2746.0,1098.0,975.0,123.0,45.0,78.0,1648.0,1505.0,143.0,2017.0
600,13121009603,2691.0,723.0,634.0,89.0,42.0,47.0,1968.0,1699.0,269.0,2017.0
601,13121009700,1351.0,1110.0,1017.0,93.0,10.0,83.0,241.0,179.0,62.0,2017.0
602,13121009801,1962.0,1144.0,1107.0,37.0,16.0,21.0,818.0,790.0,28.0,2017.0
603,13121009802,1844.0,1246.0,1138.0,108.0,39.0,69.0,598.0,520.0,78.0,2017.0
604,13121009900,2158.0,1171.0,1111.0,60.0,17.0,43.0,987.0,884.0,103.0,2017.0
605,13121010001,2442.0,1019.0,920.0,99.0,0.0,99.0,1423.0,1348.0,75.0,2017.0
606,13121010002,3344.0,1709.0,1672.0,37.0,11.0,26.0,1635.0,1206.0,429.0,2017.0
607,13121010106,1880.0,1070.0,935.0,135.0,29.0,106.0,810.0,650.0,160.0,2017.0
608,13121010107,695.0,640.0,575.0,65.0,50.0,15.0,55.0,46.0,9.0,2017.0
609,13121010108,1460.0,1075.0,973.0,102.0,19.0,83.0,385.0,377.0,8.0,2017.0
610,13121010110,3115.0,1425.0,1175.0,250.0,104.0,146.0,1690.0,1426.0,264.0,2017.0
611,13121010113,2633.0,1191.0,862.0,329.0,106.0,223.0,1442.0,1361.0,81.0,2017.0
612,13121010114,3013.0,1455.0,1058.0,397.0,137.0,260.0,1558.0,1354.0,204.0,2017.0
613,13121010115,1102.0,639.0,560.0,79.0,10.0,69.0,463.0,409.0,54.0,2017.0
614,13121010117,1902.0,682.0,503.0,179.0,15.0,164.0,1220.0,984.0,236.0,2017.0
615,13121010118,2200.0,1271.0,674.0,597.0,110.0,487.0,929.0,712.0,217.0,2017.0
616,13121010119,2312.0,959.0,564.0,395.0,100.0,295.0,1353.0,1073.0,280.0,2017.0
617,13121010120,1180.0,514.0,373.0,141.0,51.0,90.0,666.0,515.0,151.0,2017.0
618,13121010121,1162.0,509.0,429.0,80.0,46.0,34.0,653.0,592.0,61.0,2017.0
619,13121010122,2947.0,1551.0,1189.0,362.0,56.0,306.0,1396.0,1062.0,334.0,2017.0
620,13121010123,2245.0,1028.0,664.0,364.0,164.0,200.0,1217.0,904.0,313.0,2017.0
621,13121010204,1826.0,1523.0,1432.0,91.0,0.0,91.0,303.0,282.0,21.0,2017.0
622,13121010205,2267.0,1266.0,1131.0,135.0,52.0,83.0,1001.0,766.0,235.0,2017.0
623,13121010206,2328.0,1694.0,1558.0,136.0,43.0,93.0,634.0,574.0,60.0,2017.0
624,13121010208,2322.0,964.0,695.0,269.0,141.0,128.0,1358.0,1151.0,207.0,2017.0
625,13121010209,2798.0,1115.0,594.0,521.0,182.0,339.0,1683.0,1259.0,424.0,2017.0
626,13121010210,2724.0,1607.0,1142.0,465.0,287.0,178.0,1117.0,1004.0,113.0,2017.0
627,13121010211,997.0,743.0,695.0,48.0,16.0,32.0,254.0,192.0,62.0,2017.0
628,13121010212,1911.0,1156.0,859.0,297.0,80.0,217.0,755.0,535.0,220.0,2017.0
629,13121010301,5700.0,3749.0,2598.0,1151.0,199.0,952.0,1951.0,1556.0,395.0,2017.0
630,13121010303,3974.0,2319.0,1395.0,924.0,180.0,744.0,1655.0,1555.0,100.0,2017.0
631,13121010304,4806.0,3552.0,2316.0,1236.0,458.0,778.0,1254.0,996.0,258.0,2017.0
632,13121010400,2662.0,1957.0,1257.0,700.0,101.0,599.0,705.0,644.0,61.0,2017.0
633,13121010507,2694.0,1679.0,534.0,1145.0,245.0,900.0,1015.0,967.0,48.0,2017.0
634,13121010508,1186.0,725.0,356.0,369.0,73.0,296.0,461.0,362.0,99.0,2017.0
635,13121010510,6228.0,2909.0,1584.0,1325.0,301.0,1024.0,3319.0,2976.0,343.0,2017.0
636,13121010511,2524.0,1666.0,734.0,932.0,97.0,835.0,858.0,708.0,150.0,2017.0
637,13121010512,2472.0,1399.0,546.0,853.0,188.0,665.0,1073.0,899.0,174.0,2017.0
638,13121010513,4696.0,3230.0,1405.0,1825.0,145.0,1680.0,1466.0,1466.0,0.0,2017.0
639,13121010514,4642.0,3014.0,1535.0,1479.0,176.0,1303.0,1628.0,1516.0,112.0,2017.0
640,13121010515,1969.0,1116.0,679.0,437.0,76.0,361.0,853.0,808.0,45.0,2017.0
641,13121010516,2639.0,1911.0,1009.0,902.0,167.0,735.0,728.0,651.0,77.0,2017.0
642,13121010601,1540.0,654.0,311.0,343.0,71.0,272.0,886.0,743.0,143.0,2017.0
643,13121010603,1437.0,826.0,261.0,565.0,101.0,464.0,611.0,511.0,100.0,2017.0
644,13121010604,1297.0,604.0,204.0,400.0,114.0,286.0,693.0,615.0,78.0,2017.0
645,13121010800,2487.0,1083.0,583.0,500.0,146.0,354.0,1404.0,1280.0,124.0,2017.0
646,13121011000,1002.0,617.0,201.0,416.0,99.0,317.0,385.0,357.0,28.0,2017.0
647,13121011100,1196.0,414.0,316.0,98.0,9.0,89.0,782.0,627.0,155.0,2017.0
648,13121011201,1587.0,714.0,226.0,488.0,67.0,421.0,873.0,714.0,159.0,2017.0
649,13121011202,1608.0,789.0,413.0,376.0,121.0,255.0,819.0,658.0,161.0,2017.0
650,13121011301,1713.0,915.0,491.0,424.0,78.0,346.0,798.0,702.0,96.0,2017.0
651,13121011303,3768.0,1760.0,913.0,847.0,139.0,708.0,2008.0,1676.0,332.0,2017.0
652,13121011305,2234.0,1031.0,376.0,655.0,115.0,540.0,1203.0,1105.0,98.0,2017.0
653,13121011306,932.0,502.0,206.0,296.0,101.0,195.0,430.0,359.0,71.0,2017.0
654,13121011405,2877.0,1711.0,1208.0,503.0,149.0,354.0,1166.0,902.0,264.0,2017.0
655,13121011410,2696.0,1955.0,1774.0,181.0,69.0,112.0,741.0,531.0,210.0,2017.0
656,13121011411,3108.0,2146.0,1647.0,499.0,269.0,230.0,962.0,786.0,176.0,2017.0
657,13121011412,3514.0,2089.0,1716.0,373.0,89.0,284.0,1425.0,1051.0,374.0,2017.0
658,13121011414,2966.0,1886.0,1425.0,461.0,83.0,378.0,1080.0,738.0,342.0,2017.0
659,13121011416,2041.0,1362.0,1222.0,140.0,41.0,99.0,679.0,646.0,33.0,2017.0
660,13121011417,2064.0,1457.0,1295.0,162.0,80.0,82.0,607.0,563.0,44.0,2017.0
661,13121011418,2161.0,1712.0,1496.0,216.0,65.0,151.0,449.0,376.0,73.0,2017.0
662,13121011419,2350.0,1434.0,1208.0,226.0,19.0,207.0,916.0,866.0,50.0,2017.0
663,13121011420,2244.0,1512.0,658.0,854.0,373.0,481.0,732.0,479.0,253.0,2017.0
664,13121011421,1658.0,919.0,508.0,411.0,142.0,269.0,739.0,604.0,135.0,2017.0
665,13121011422,1617.0,957.0,741.0,216.0,31.0,185.0,660.0,599.0,61.0,2017.0
666,13121011423,1802.0,1373.0,1168.0,205.0,101.0,104.0,429.0,346.0,83.0,2017.0
667,13121011424,2192.0,1646.0,1316.0,330.0,83.0,247.0,546.0,432.0,114.0,2017.0
668,13121011425,2303.0,2033.0,1896.0,137.0,91.0,46.0,270.0,246.0,24.0,2017.0
669,13121011426,724.0,609.0,461.0,148.0,47.0,101.0,115.0,82.0,33.0,2017.0
670,13121011427,2948.0,2075.0,1666.0,409.0,177.0,232.0,873.0,695.0,178.0,2017.0
671,13121011503,3404.0,2861.0,2607.0,254.0,74.0,180.0,543.0,526.0,17.0,2017.0
672,13121011504,4075.0,3705.0,3431.0,274.0,90.0,184.0,370.0,269.0,101.0,2017.0
673,13121011505,1392.0,1231.0,1023.0,208.0,117.0,91.0,161.0,137.0,24.0,2017.0
674,13121011506,2013.0,1672.0,1564.0,108.0,27.0,81.0,341.0,257.0,84.0,2017.0
675,13121011610,1999.0,1620.0,1332.0,288.0,86.0,202.0,379.0,351.0,28.0,2017.0
676,13121011611,3386.0,2037.0,1239.0,798.0,159.0,639.0,1349.0,1140.0,209.0,2017.0
677,13121011612,1191.0,1060.0,986.0,74.0,0.0,74.0,131.0,100.0,31.0,2017.0
678,13121011613,2315.0,1768.0,1379.0,389.0,125.0,264.0,547.0,429.0,118.0,2017.0
679,13121011614,5874.0,3821.0,2769.0,1052.0,214.0,838.0,2053.0,1819.0,234.0,2017.0
680,13121011615,3447.0,2684.0,2410.0,274.0,0.0,274.0,763.0,617.0,146.0,2017.0
681,13121011616,2549.0,1502.0,1016.0,486.0,150.0,336.0,1047.0,737.0,310.0,2017.0
682,13121011617,2728.0,1898.0,1759.0,139.0,85.0,54.0,830.0,738.0,92.0,2017.0
683,13121011618,1595.0,1231.0,1025.0,206.0,11.0,195.0,364.0,261.0,103.0,2017.0
684,13121011619,3043.0,2121.0,1646.0,475.0,98.0,377.0,922.0,753.0,169.0,2017.0
685,13121011620,3334.0,2857.0,2450.0,407.0,130.0,277.0,477.0,440.0,37.0,2017.0
686,13121011621,2242.0,1932.0,1599.0,333.0,101.0,232.0,310.0,250.0,60.0,2017.0
687,13121011622,3092.0,2789.0,2628.0,161.0,86.0,75.0,303.0,275.0,28.0,2017.0
688,13121011623,4337.0,3421.0,3087.0,334.0,87.0,247.0,916.0,823.0,93.0,2017.0
689,13121011624,1205.0,1147.0,1002.0,145.0,55.0,90.0,58.0,36.0,22.0,2017.0
690,13121011625,2497.0,2131.0,1782.0,349.0,110.0,239.0,366.0,322.0,44.0,2017.0
691,13121011626,3063.0,2429.0,2025.0,404.0,138.0,266.0,634.0,584.0,50.0,2017.0
692,13121011800,1096.0,320.0,103.0,217.0,29.0,188.0,776.0,618.0,158.0,2017.0
693,13121011900,1842.0,203.0,98.0,105.0,24.0,81.0,1639.0,1460.0,179.0,2017.0
694,13121012000,1259.0,338.0,146.0,192.0,71.0,121.0,921.0,803.0,118.0,2017.0
695,13121012300,965.0,515.0,325.0,190.0,66.0,124.0,450.0,405.0,45.0,2017.0
945,13089980000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
946,13121003700,110.0,0.0,0.0,0.0,0.0,0.0,110.0,96.0,14.0,2017.0
947,13121980000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
