,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,000 to $3,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,500 or more",CONTRACT RENT_Estimate!!Total!!No cash rent,YEAR
283,13089021213,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,9.0,2017.0
284,13089021214,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,0.0,0.0,0.0,2017.0
285,13089021215,1814.0,1814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,30.0,0.0,196.0,494.0,402.0,561.0,104.0,0.0,0.0,0.0,0.0,2017.0
286,13089021216,3242.0,3225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,336.0,1062.0,778.0,920.0,55.0,0.0,0.0,0.0,17.0,2017.0
287,13089021217,354.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,54.0,112.0,37.0,56.0,4.0,0.0,0.0,0.0,6.0,2017.0
288,13089021218,2149.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,97.0,350.0,827.0,430.0,263.0,10.0,44.0,0.0,0.0,101.0,2017.0
289,13089021301,1257.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,31.0,77.0,59.0,21.0,69.0,144.0,245.0,89.0,337.0,128.0,9.0,0.0,0.0,0.0,0.0,13.0,2017.0
290,13089021303,1022.0,1004.0,0.0,0.0,0.0,0.0,17.0,52.0,62.0,67.0,46.0,0.0,16.0,25.0,49.0,45.0,118.0,140.0,106.0,174.0,43.0,44.0,0.0,0.0,0.0,0.0,18.0,2017.0
291,13089021305,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,44.0,76.0,114.0,201.0,260.0,101.0,80.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,2017.0
292,13089021306,1243.0,1229.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,45.0,34.0,197.0,110.0,53.0,350.0,151.0,159.0,115.0,5.0,0.0,0.0,0.0,0.0,14.0,2017.0
293,13089021307,475.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,27.0,27.0,70.0,91.0,73.0,84.0,53.0,5.0,0.0,0.0,0.0,0.0,36.0,2017.0
294,13089021308,721.0,708.0,0.0,25.0,0.0,0.0,0.0,0.0,11.0,34.0,11.0,0.0,0.0,27.0,0.0,0.0,124.0,185.0,58.0,222.0,5.0,6.0,0.0,0.0,0.0,0.0,13.0,2017.0
295,13089021405,532.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,113.0,22.0,109.0,169.0,65.0,0.0,0.0,0.0,0.0,2017.0
296,13089021409,1140.0,1140.0,0.0,0.0,19.0,0.0,0.0,0.0,32.0,0.0,29.0,0.0,11.0,110.0,92.0,152.0,110.0,102.0,124.0,204.0,83.0,72.0,0.0,0.0,0.0,0.0,0.0,2017.0
297,13089021410,1242.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,62.0,51.0,111.0,255.0,183.0,311.0,154.0,78.0,0.0,0.0,0.0,0.0,19.0,2017.0
298,13089021411,1113.0,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,0.0,19.0,13.0,22.0,34.0,85.0,151.0,311.0,355.0,42.0,8.0,7.0,0.0,16.0,2017.0
299,13089021412,379.0,365.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,31.0,21.0,80.0,0.0,28.0,56.0,75.0,20.0,9.0,9.0,0.0,14.0,2017.0
300,13089021413,1025.0,1019.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,122.0,90.0,71.0,164.0,229.0,116.0,93.0,42.0,5.0,16.0,0.0,0.0,0.0,6.0,2017.0
301,13089021414,1495.0,1478.0,8.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,60.0,67.0,257.0,335.0,395.0,195.0,79.0,0.0,0.0,0.0,0.0,17.0,2017.0
302,13089021415,828.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,17.0,11.0,12.0,6.0,0.0,44.0,66.0,69.0,212.0,136.0,161.0,59.0,0.0,8.0,0.0,9.0,2017.0
303,13089021416,369.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,24.0,24.0,61.0,84.0,4.0,13.0,26.0,22.0,29.0,0.0,0.0,0.0,6.0,2017.0
304,13089021417,1828.0,1828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,44.0,26.0,79.0,308.0,424.0,668.0,89.0,149.0,13.0,0.0,0.0,0.0,0.0,2017.0
305,13089021502,1287.0,1247.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,83.0,7.0,48.0,195.0,256.0,361.0,195.0,39.0,40.0,0.0,0.0,0.0,40.0,2017.0
306,13089021503,857.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,11.0,98.0,118.0,74.0,199.0,99.0,95.0,64.0,65.0,0.0,0.0,0.0,0.0,9.0,2017.0
307,13089021504,1690.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,28.0,9.0,0.0,103.0,519.0,630.0,303.0,32.0,27.0,0.0,0.0,27.0,2017.0
308,13089021602,716.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,15.0,0.0,0.0,55.0,15.0,215.0,68.0,177.0,89.0,36.0,0.0,0.0,0.0,0.0,23.0,2017.0
309,13089021603,1594.0,1594.0,0.0,13.0,10.0,25.0,13.0,26.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,74.0,20.0,141.0,197.0,357.0,335.0,94.0,54.0,116.0,13.0,62.0,0.0,2017.0
310,13089021604,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,38.0,23.0,0.0,0.0,0.0,9.0,0.0,2017.0
311,13089021605,1544.0,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,0.0,0.0,88.0,185.0,221.0,147.0,386.0,328.0,100.0,0.0,0.0,0.0,0.0,36.0,2017.0
312,13089021703,132.0,132.0,39.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,20.0,8.0,0.0,0.0,0.0,0.0,2017.0
313,13089021704,487.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,27.0,0.0,38.0,47.0,65.0,0.0,67.0,97.0,49.0,29.0,0.0,15.0,0.0,0.0,33.0,2017.0
314,13089021705,1344.0,1336.0,0.0,0.0,0.0,22.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,15.0,232.0,96.0,142.0,322.0,134.0,169.0,149.0,13.0,0.0,0.0,0.0,0.0,8.0,2017.0
315,13089021706,846.0,819.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,52.0,36.0,163.0,121.0,230.0,166.0,22.0,0.0,0.0,0.0,0.0,27.0,2017.0
316,13089021805,593.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,57.0,38.0,56.0,0.0,78.0,63.0,112.0,44.0,0.0,0.0,0.0,0.0,0.0,53.0,2017.0
317,13089021806,1376.0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,51.0,15.0,263.0,135.0,71.0,266.0,224.0,226.0,58.0,0.0,0.0,0.0,0.0,0.0,33.0,2017.0
318,13089021808,503.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,155.0,126.0,124.0,66.0,5.0,0.0,0.0,0.0,0.0,4.0,2017.0
319,13089021809,286.0,274.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,60.0,14.0,115.0,37.0,0.0,17.0,0.0,0.0,0.0,12.0,2017.0
320,13089021810,985.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0,74.0,408.0,220.0,206.0,6.0,0.0,0.0,0.0,0.0,2017.0
321,13089021812,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,8.0,91.0,32.0,25.0,63.0,24.0,0.0,0.0,0.0,0.0,0.0,2017.0
322,13089021813,1113.0,1113.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,29.0,59.0,105.0,87.0,157.0,198.0,207.0,195.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,2017.0
323,13089021814,1425.0,1389.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,40.0,66.0,189.0,136.0,132.0,219.0,167.0,102.0,232.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,36.0,2017.0
324,13089021906,749.0,737.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,56.0,76.0,76.0,96.0,34.0,161.0,105.0,97.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,2017.0
325,13089021907,1276.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,10.0,60.0,0.0,89.0,178.0,176.0,166.0,168.0,0.0,175.0,54.0,0.0,39.0,12.0,50.0,47.0,11.0,2017.0
326,13089021908,1525.0,1511.0,14.0,17.0,69.0,27.0,49.0,14.0,0.0,14.0,106.0,85.0,124.0,288.0,0.0,191.0,77.0,286.0,63.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2017.0
327,13089021909,1826.0,1773.0,43.0,18.0,3.0,0.0,0.0,0.0,21.0,6.0,0.0,60.0,86.0,413.0,53.0,315.0,206.0,366.0,62.0,92.0,29.0,0.0,0.0,0.0,0.0,0.0,53.0,2017.0
328,13089021910,1051.0,1051.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,83.0,78.0,163.0,204.0,129.0,256.0,20.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
329,13089021911,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,206.0,116.0,127.0,98.0,74.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
330,13089021912,73.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,22.0,0.0,0.0,43.0,2017.0
331,13089021913,1830.0,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,155.0,380.0,211.0,300.0,169.0,88.0,210.0,51.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2017.0
332,13089022001,657.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,9.0,26.0,0.0,69.0,98.0,140.0,78.0,121.0,20.0,22.0,0.0,0.0,32.0,9.0,2017.0
333,13089022004,459.0,449.0,0.0,0.0,0.0,0.0,20.0,0.0,21.0,24.0,8.0,18.0,0.0,9.0,43.0,20.0,17.0,111.0,10.0,130.0,13.0,5.0,0.0,0.0,0.0,0.0,10.0,2017.0
334,13089022005,1076.0,1076.0,8.0,37.0,0.0,0.0,8.0,0.0,0.0,25.0,14.0,108.0,161.0,78.0,142.0,93.0,75.0,37.0,80.0,178.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,2017.0
335,13089022007,1044.0,1044.0,0.0,0.0,12.0,6.0,0.0,14.0,0.0,0.0,21.0,39.0,70.0,114.0,128.0,105.0,208.0,184.0,116.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
336,13089022008,1927.0,1913.0,14.0,0.0,15.0,0.0,0.0,0.0,35.0,0.0,0.0,168.0,106.0,340.0,355.0,243.0,145.0,317.0,30.0,75.0,49.0,21.0,0.0,0.0,0.0,0.0,14.0,2017.0
337,13089022009,1657.0,1657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,133.0,234.0,185.0,289.0,130.0,328.0,265.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
338,13089022010,235.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,25.0,22.0,37.0,17.0,50.0,28.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
339,13089022100,736.0,709.0,0.0,70.0,0.0,12.0,53.0,9.0,0.0,11.0,12.0,109.0,65.0,49.0,38.0,51.0,65.0,52.0,57.0,22.0,14.0,20.0,0.0,0.0,0.0,0.0,27.0,2017.0
340,13089022203,872.0,872.0,0.0,0.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,71.0,149.0,115.0,278.0,102.0,13.0,58.0,12.0,0.0,0.0,0.0,2017.0
341,13089022204,1904.0,1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,216.0,130.0,294.0,402.0,155.0,504.0,91.0,32.0,0.0,13.0,0.0,0.0,19.0,2017.0
342,13089022301,1273.0,1163.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,58.0,0.0,0.0,0.0,69.0,229.0,169.0,43.0,151.0,222.0,109.0,67.0,19.0,0.0,0.0,110.0,2017.0
343,13089022302,1063.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,0.0,40.0,0.0,34.0,139.0,175.0,97.0,333.0,87.0,58.0,28.0,0.0,0.0,0.0,29.0,2017.0
344,13089022401,832.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,9.0,78.0,56.0,57.0,171.0,179.0,142.0,45.0,0.0,0.0,0.0,35.0,2017.0
345,13089022402,780.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0,61.0,91.0,103.0,127.0,212.0,66.0,49.0,18.0,5.0,22.0,2017.0
346,13089022403,190.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,25.0,0.0,8.0,19.0,39.0,6.0,38.0,4.0,0.0,0.0,7.0,13.0,2017.0
347,13089022500,922.0,871.0,14.0,122.0,89.0,138.0,12.0,112.0,0.0,47.0,0.0,21.0,23.0,0.0,0.0,0.0,11.0,14.0,0.0,71.0,36.0,52.0,32.0,20.0,57.0,0.0,51.0,2017.0
348,13089022600,1163.0,1124.0,14.0,0.0,0.0,70.0,12.0,53.0,29.0,18.0,0.0,0.0,21.0,58.0,55.0,92.0,120.0,118.0,34.0,147.0,173.0,40.0,0.0,24.0,0.0,46.0,39.0,2017.0
349,13089022700,381.0,359.0,49.0,8.0,18.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,29.0,74.0,16.0,82.0,15.0,9.0,9.0,0.0,0.0,0.0,22.0,2017.0
350,13089022800,233.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.0,0.0,32.0,43.0,26.0,8.0,31.0,8.0,13.0,0.0,0.0,0.0,0.0,43.0,2017.0
351,13089022900,398.0,390.0,18.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,16.0,31.0,47.0,34.0,61.0,7.0,82.0,29.0,11.0,6.0,0.0,0.0,0.0,8.0,2017.0
352,13089023000,326.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,94.0,108.0,59.0,0.0,39.0,0.0,0.0,0.0,0.0,11.0,2017.0
353,13089023101,770.0,757.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,19.0,36.0,28.0,21.0,110.0,37.0,67.0,88.0,147.0,63.0,54.0,70.0,0.0,0.0,0.0,0.0,0.0,13.0,2017.0
354,13089023102,857.0,839.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,48.0,76.0,145.0,43.0,138.0,96.0,74.0,59.0,26.0,24.0,13.0,73.0,0.0,0.0,0.0,0.0,0.0,18.0,2017.0
355,13089023107,819.0,819.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,21.0,19.0,26.0,12.0,78.0,74.0,55.0,137.0,125.0,120.0,97.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,2017.0
