,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
122,13121001100,3272.0,2569.0,703.0,2013.0
123,13121001100,3472.0,2826.0,646.0,2014.0
124,13121001100,3618.0,3012.0,606.0,2015.0
125,13121001100,3655.0,2956.0,699.0,2016.0
126,13121001100,3833.0,2949.0,884.0,2017.0
127,13121002500,1338.0,848.0,490.0,2012.0
128,13121002500,1333.0,846.0,487.0,2013.0
129,13121002500,1293.0,803.0,490.0,2014.0
130,13121002500,1255.0,896.0,359.0,2015.0
131,13121002500,1308.0,931.0,377.0,2016.0
132,13121002500,1311.0,955.0,356.0,2017.0
133,13121004200,1530.0,1223.0,307.0,2012.0
134,13121004200,1582.0,1324.0,258.0,2013.0
135,13121004200,1588.0,1319.0,269.0,2014.0
136,13121004200,1596.0,1312.0,284.0,2015.0
137,13121004200,1649.0,1472.0,177.0,2016.0
138,13121004200,1609.0,1433.0,176.0,2017.0
139,13121009101,3173.0,2715.0,458.0,2012.0
140,13121009101,3211.0,2641.0,570.0,2013.0
141,13121009101,3381.0,2768.0,613.0,2014.0
142,13121009101,3399.0,2714.0,685.0,2015.0
143,13121009101,3480.0,2776.0,704.0,2016.0
144,13121009101,3696.0,2826.0,870.0,2017.0
145,13121008904,2663.0,2371.0,292.0,2012.0
146,13121008904,2693.0,2379.0,314.0,2013.0
147,13121008904,2696.0,2349.0,347.0,2014.0
148,13121008904,2800.0,2380.0,420.0,2015.0
149,13121008904,2887.0,2512.0,375.0,2016.0
150,13121008904,2895.0,2615.0,280.0,2017.0
151,13121003700,108.0,0.0,108.0,2012.0
152,13121003700,0.0,0.0,0.0,2013.0
153,13121003700,30.0,30.0,0.0,2014.0
154,13121003700,54.0,54.0,0.0,2015.0
155,13121003700,95.0,95.0,0.0,2016.0
156,13121003700,110.0,110.0,0.0,2017.0
