,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
635,13121010510,6892.0,2017.0
636,13121010511,3193.0,2017.0
637,13121010512,3158.0,2017.0
638,13121010513,5564.0,2017.0
639,13121010514,5014.0,2017.0
640,13121010515,2221.0,2017.0
641,13121010516,3140.0,2017.0
642,13121010601,1806.0,2017.0
643,13121010603,1671.0,2017.0
644,13121010604,1921.0,2017.0
645,13121010800,3245.0,2017.0
646,13121011000,1353.0,2017.0
647,13121011100,1489.0,2017.0
648,13121011201,2161.0,2017.0
649,13121011202,2437.0,2017.0
650,13121011301,2091.0,2017.0
651,13121011303,4288.0,2017.0
652,13121011305,2965.0,2017.0
653,13121011306,1395.0,2017.0
654,13121011405,3030.0,2017.0
655,13121011410,2696.0,2017.0
656,13121011411,3132.0,2017.0
657,13121011412,3792.0,2017.0
658,13121011414,3154.0,2017.0
659,13121011416,2087.0,2017.0
660,13121011417,2096.0,2017.0
661,13121011418,2363.0,2017.0
662,13121011419,2530.0,2017.0
663,13121011420,2484.0,2017.0
664,13121011421,1712.0,2017.0
665,13121011422,1680.0,2017.0
666,13121011423,2050.0,2017.0
667,13121011424,2235.0,2017.0
668,13121011425,2335.0,2017.0
669,13121011426,757.0,2017.0
670,13121011427,3127.0,2017.0
671,13121011503,3461.0,2017.0
672,13121011504,4198.0,2017.0
673,13121011505,1403.0,2017.0
674,13121011506,2166.0,2017.0
675,13121011610,2072.0,2017.0
676,13121011611,3659.0,2017.0
677,13121011612,1214.0,2017.0
678,13121011613,2368.0,2017.0
679,13121011614,6461.0,2017.0
680,13121011615,3608.0,2017.0
681,13121011616,2660.0,2017.0
682,13121011617,3050.0,2017.0
683,13121011618,1654.0,2017.0
684,13121011619,3264.0,2017.0
685,13121011620,3334.0,2017.0
686,13121011621,2558.0,2017.0
687,13121011622,3176.0,2017.0
688,13121011623,4337.0,2017.0
689,13121011624,1235.0,2017.0
690,13121011625,2755.0,2017.0
691,13121011626,3199.0,2017.0
692,13121011800,1900.0,2017.0
693,13121011900,2116.0,2017.0
694,13121012000,1574.0,2017.0
695,13121012300,1395.0,2017.0
945,13089980000,0.0,2017.0
946,13121003700,110.0,2017.0
947,13121980000,0.0,2017.0
