,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!Less than $10,000","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$10,000 to $14,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$15,000 to $19,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$20,000 to $24,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$25,000 to $29,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$30,000 to $34,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$35,000 to $39,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$40,000 to $44,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$45,000 to $49,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$50,000 to $59,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$60,000 to $74,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$75,000 to $99,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$100,000 to $124,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$125,000 to $149,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$150,000 to $199,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$200,000 or more",YEAR
102,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
103,13121009700,1604.0,30.0,15.0,10.0,13.0,6.0,0.0,10.0,27.0,26.0,97.0,112.0,174.0,198.0,81.0,170.0,635.0,2012.0
104,13121009700,1539.0,33.0,15.0,9.0,23.0,0.0,12.0,9.0,11.0,23.0,60.0,110.0,181.0,133.0,83.0,163.0,674.0,2013.0
105,13121009700,1471.0,37.0,19.0,9.0,0.0,28.0,14.0,9.0,9.0,21.0,45.0,94.0,142.0,117.0,109.0,184.0,634.0,2014.0
106,13121009700,1400.0,42.0,16.0,40.0,0.0,24.0,17.0,45.0,17.0,26.0,35.0,54.0,104.0,104.0,79.0,182.0,615.0,2015.0
107,13121009700,1344.0,40.0,18.0,53.0,0.0,25.0,18.0,52.0,9.0,27.0,46.0,41.0,79.0,126.0,56.0,141.0,613.0,2016.0
108,13121009700,1351.0,52.0,19.0,54.0,0.0,18.0,31.0,45.0,7.0,24.0,17.0,21.0,52.0,168.0,41.0,126.0,676.0,2017.0
109,13121007100,907.0,217.0,145.0,91.0,82.0,134.0,0.0,42.0,48.0,23.0,67.0,27.0,26.0,0.0,0.0,0.0,5.0,2012.0
110,13121007100,755.0,139.0,113.0,122.0,63.0,54.0,87.0,15.0,39.0,17.0,38.0,5.0,43.0,16.0,0.0,0.0,4.0,2013.0
111,13121007100,707.0,126.0,99.0,141.0,43.0,82.0,30.0,26.0,39.0,4.0,46.0,5.0,42.0,16.0,0.0,0.0,8.0,2014.0
112,13121007100,711.0,117.0,97.0,124.0,71.0,48.0,33.0,39.0,57.0,4.0,38.0,4.0,34.0,33.0,0.0,6.0,6.0,2015.0
113,13121007100,756.0,117.0,90.0,132.0,120.0,18.0,30.0,53.0,60.0,5.0,26.0,16.0,24.0,51.0,0.0,7.0,7.0,2016.0
114,13121007100,782.0,122.0,58.0,114.0,118.0,18.0,43.0,32.0,69.0,16.0,31.0,37.0,35.0,85.0,0.0,4.0,0.0,2017.0
115,13121006200,354.0,49.0,31.0,25.0,37.0,35.0,60.0,5.0,0.0,27.0,0.0,54.0,20.0,8.0,0.0,0.0,3.0,2012.0
116,13121006200,438.0,49.0,56.0,96.0,56.0,15.0,50.0,14.0,0.0,29.0,11.0,26.0,16.0,17.0,0.0,0.0,3.0,2013.0
117,13121006200,439.0,65.0,58.0,61.0,36.0,31.0,48.0,4.0,5.0,21.0,33.0,5.0,24.0,45.0,0.0,0.0,3.0,2014.0
118,13121006200,459.0,53.0,64.0,74.0,55.0,28.0,6.0,8.0,14.0,22.0,20.0,5.0,36.0,69.0,0.0,0.0,5.0,2015.0
119,13121006200,467.0,46.0,42.0,94.0,53.0,23.0,21.0,10.0,17.0,17.0,30.0,4.0,43.0,61.0,0.0,6.0,0.0,2016.0
120,13121006200,512.0,65.0,38.0,109.0,33.0,27.0,29.0,11.0,20.0,26.0,31.0,5.0,36.0,77.0,0.0,5.0,0.0,2017.0
121,13121001100,2620.0,250.0,105.0,96.0,83.0,23.0,128.0,61.0,88.0,70.0,174.0,327.0,364.0,266.0,61.0,199.0,325.0,2012.0
122,13121001100,2569.0,250.0,152.0,63.0,68.0,38.0,113.0,46.0,94.0,148.0,139.0,212.0,417.0,233.0,104.0,141.0,351.0,2013.0
123,13121001100,2826.0,274.0,145.0,84.0,69.0,70.0,116.0,57.0,95.0,151.0,134.0,279.0,392.0,233.0,174.0,175.0,378.0,2014.0
124,13121001100,3012.0,204.0,98.0,55.0,95.0,79.0,72.0,51.0,83.0,126.0,180.0,180.0,508.0,296.0,233.0,261.0,491.0,2015.0
125,13121001100,2956.0,119.0,155.0,73.0,78.0,65.0,31.0,50.0,55.0,81.0,242.0,192.0,473.0,324.0,270.0,234.0,514.0,2016.0
126,13121001100,2949.0,153.0,136.0,58.0,50.0,91.0,22.0,48.0,41.0,37.0,249.0,207.0,393.0,304.0,309.0,236.0,615.0,2017.0
127,13121002500,848.0,231.0,102.0,60.0,56.0,36.0,124.0,63.0,41.0,18.0,30.0,48.0,31.0,8.0,0.0,0.0,0.0,2012.0
128,13121002500,846.0,177.0,147.0,101.0,90.0,26.0,61.0,66.0,42.0,16.0,38.0,50.0,25.0,7.0,0.0,0.0,0.0,2013.0
129,13121002500,803.0,124.0,140.0,98.0,107.0,51.0,58.0,43.0,20.0,27.0,29.0,57.0,18.0,12.0,19.0,0.0,0.0,2014.0
130,13121002500,896.0,135.0,89.0,134.0,115.0,70.0,50.0,48.0,42.0,38.0,34.0,68.0,20.0,33.0,20.0,0.0,0.0,2015.0
131,13121002500,931.0,160.0,116.0,109.0,116.0,79.0,55.0,48.0,53.0,24.0,60.0,39.0,21.0,30.0,21.0,0.0,0.0,2016.0
132,13121002500,955.0,156.0,82.0,104.0,121.0,79.0,67.0,43.0,78.0,14.0,70.0,72.0,12.0,36.0,18.0,0.0,3.0,2017.0
133,13121004200,1223.0,414.0,102.0,108.0,89.0,76.0,50.0,21.0,17.0,39.0,99.0,76.0,51.0,18.0,19.0,23.0,21.0,2012.0
134,13121004200,1324.0,395.0,142.0,171.0,95.0,71.0,70.0,0.0,25.0,61.0,57.0,63.0,77.0,39.0,16.0,20.0,22.0,2013.0
135,13121004200,1319.0,450.0,144.0,81.0,98.0,70.0,112.0,0.0,8.0,58.0,71.0,86.0,67.0,21.0,14.0,4.0,35.0,2014.0
136,13121004200,1312.0,383.0,182.0,105.0,82.0,48.0,127.0,0.0,46.0,42.0,75.0,95.0,82.0,34.0,5.0,6.0,0.0,2015.0
137,13121004200,1472.0,447.0,234.0,99.0,113.0,25.0,128.0,0.0,58.0,56.0,78.0,101.0,87.0,42.0,4.0,0.0,0.0,2016.0
138,13121004200,1433.0,402.0,233.0,125.0,102.0,42.0,125.0,0.0,55.0,40.0,70.0,119.0,71.0,26.0,8.0,0.0,15.0,2017.0
139,13121009101,2715.0,255.0,21.0,119.0,39.0,118.0,100.0,150.0,139.0,127.0,178.0,256.0,408.0,116.0,216.0,212.0,261.0,2012.0
140,13121009101,2641.0,259.0,13.0,67.0,40.0,157.0,82.0,99.0,88.0,94.0,215.0,269.0,533.0,80.0,183.0,224.0,238.0,2013.0
141,13121009101,2768.0,246.0,64.0,69.0,0.0,137.0,176.0,110.0,91.0,76.0,215.0,321.0,544.0,121.0,177.0,213.0,208.0,2014.0
142,13121009101,2714.0,186.0,118.0,76.0,12.0,127.0,143.0,104.0,31.0,71.0,235.0,379.0,504.0,195.0,126.0,188.0,219.0,2015.0
143,13121009101,2776.0,109.0,100.0,95.0,37.0,116.0,102.0,77.0,48.0,29.0,274.0,442.0,507.0,230.0,170.0,135.0,305.0,2016.0
144,13121009101,2826.0,124.0,105.0,93.0,31.0,47.0,43.0,82.0,79.0,39.0,169.0,540.0,557.0,185.0,191.0,205.0,336.0,2017.0
145,13121008904,2371.0,72.0,52.0,106.0,123.0,123.0,54.0,165.0,90.0,28.0,306.0,265.0,356.0,165.0,98.0,103.0,265.0,2012.0
146,13121008904,2379.0,113.0,65.0,166.0,85.0,105.0,56.0,157.0,64.0,33.0,195.0,217.0,414.0,265.0,94.0,83.0,267.0,2013.0
147,13121008904,2349.0,102.0,93.0,177.0,74.0,95.0,108.0,147.0,35.0,49.0,141.0,232.0,334.0,283.0,79.0,145.0,255.0,2014.0
148,13121008904,2380.0,110.0,99.0,118.0,67.0,114.0,109.0,119.0,76.0,38.0,159.0,204.0,340.0,254.0,139.0,208.0,226.0,2015.0
149,13121008904,2512.0,114.0,71.0,102.0,39.0,115.0,65.0,144.0,85.0,135.0,166.0,160.0,283.0,298.0,182.0,301.0,252.0,2016.0
150,13121008904,2615.0,111.0,74.0,102.0,41.0,54.0,112.0,97.0,160.0,117.0,189.0,184.0,260.0,351.0,178.0,326.0,259.0,2017.0
151,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
152,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
153,13121003700,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
154,13121003700,54.0,0.0,40.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
155,13121003700,95.0,0.0,40.0,0.0,14.0,0.0,27.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
156,13121003700,110.0,14.0,28.0,12.0,14.0,0.0,28.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
157,13121010211,1336.0,22.0,31.0,61.0,32.0,90.0,45.0,53.0,54.0,0.0,53.0,62.0,143.0,59.0,45.0,247.0,339.0,2012.0
158,13121010211,1278.0,13.0,35.0,53.0,72.0,49.0,14.0,50.0,68.0,0.0,79.0,11.0,132.0,61.0,57.0,215.0,369.0,2013.0
159,13121010211,1199.0,0.0,29.0,61.0,79.0,31.0,46.0,59.0,0.0,0.0,79.0,24.0,50.0,109.0,12.0,201.0,419.0,2014.0
160,13121010211,1126.0,21.0,7.0,56.0,71.0,0.0,26.0,26.0,0.0,0.0,96.0,46.0,106.0,84.0,32.0,144.0,411.0,2015.0
161,13121010211,1017.0,19.0,19.0,16.0,51.0,0.0,30.0,25.0,0.0,8.0,76.0,29.0,100.0,91.0,43.0,70.0,440.0,2016.0
162,13121010211,997.0,18.0,21.0,19.0,53.0,0.0,29.0,35.0,7.0,7.0,59.0,36.0,97.0,67.0,72.0,35.0,442.0,2017.0
163,13121012000,1186.0,414.0,106.0,135.0,54.0,64.0,63.0,28.0,50.0,44.0,56.0,61.0,54.0,10.0,9.0,38.0,0.0,2012.0
164,13121012000,1162.0,482.0,154.0,119.0,31.0,33.0,43.0,25.0,59.0,46.0,42.0,56.0,24.0,10.0,10.0,0.0,28.0,2013.0
165,13121012000,1184.0,494.0,144.0,99.0,45.0,66.0,34.0,42.0,58.0,46.0,34.0,59.0,28.0,9.0,9.0,0.0,17.0,2014.0
166,13121012000,1199.0,401.0,142.0,120.0,26.0,75.0,70.0,49.0,89.0,48.0,45.0,67.0,19.0,0.0,14.0,0.0,34.0,2015.0
167,13121012000,1213.0,333.0,145.0,132.0,32.0,35.0,102.0,97.0,98.0,87.0,26.0,51.0,14.0,0.0,15.0,14.0,32.0,2016.0
168,13121012000,1259.0,266.0,168.0,102.0,66.0,42.0,108.0,127.0,104.0,68.0,40.0,50.0,49.0,0.0,11.0,18.0,40.0,2017.0
169,13121009000,1673.0,70.0,29.0,16.0,43.0,79.0,19.0,52.0,44.0,73.0,38.0,107.0,157.0,151.0,114.0,232.0,449.0,2012.0
170,13121009000,1700.0,73.0,0.0,21.0,61.0,66.0,18.0,27.0,31.0,83.0,109.0,103.0,192.0,214.0,90.0,205.0,407.0,2013.0
171,13121009000,1842.0,70.0,11.0,26.0,57.0,30.0,60.0,40.0,33.0,131.0,103.0,144.0,134.0,276.0,70.0,243.0,414.0,2014.0
172,13121009000,1932.0,97.0,18.0,17.0,54.0,28.0,53.0,59.0,55.0,89.0,127.0,133.0,196.0,321.0,35.0,202.0,448.0,2015.0
173,13121009000,2004.0,68.0,23.0,18.0,40.0,19.0,41.0,50.0,28.0,49.0,179.0,181.0,224.0,317.0,55.0,177.0,535.0,2016.0
174,13121009000,2092.0,40.0,25.0,19.0,54.0,37.0,37.0,80.0,54.0,42.0,172.0,222.0,241.0,254.0,84.0,176.0,555.0,2017.0
175,13121007002,853.0,272.0,52.0,61.0,81.0,92.0,65.0,69.0,30.0,16.0,57.0,25.0,11.0,16.0,6.0,0.0,0.0,2012.0
176,13121007002,831.0,257.0,88.0,72.0,40.0,77.0,66.0,28.0,28.0,38.0,71.0,0.0,10.0,30.0,5.0,21.0,0.0,2013.0
177,13121007002,841.0,190.0,92.0,79.0,46.0,97.0,106.0,0.0,27.0,32.0,74.0,0.0,10.0,47.0,0.0,41.0,0.0,2014.0
178,13121007002,815.0,160.0,101.0,72.0,41.0,63.0,80.0,25.0,54.0,24.0,97.0,24.0,16.0,16.0,0.0,42.0,0.0,2015.0
179,13121007002,847.0,122.0,97.0,111.0,15.0,41.0,58.0,19.0,39.0,107.0,73.0,10.0,48.0,63.0,13.0,31.0,0.0,2016.0
180,13121007002,988.0,126.0,121.0,123.0,37.0,31.0,66.0,52.0,31.0,110.0,101.0,48.0,41.0,47.0,11.0,34.0,9.0,2017.0
181,13121009900,1948.0,21.0,19.0,52.0,54.0,26.0,52.0,72.0,100.0,32.0,68.0,52.0,239.0,248.0,90.0,187.0,636.0,2012.0
182,13121009900,2011.0,33.0,50.0,46.0,61.0,49.0,47.0,100.0,91.0,52.0,61.0,38.0,243.0,219.0,92.0,106.0,723.0,2013.0
183,13121009900,1972.0,35.0,28.0,40.0,71.0,42.0,62.0,64.0,85.0,72.0,127.0,51.0,213.0,170.0,81.0,113.0,718.0,2014.0
184,13121009900,2148.0,44.0,30.0,45.0,27.0,70.0,67.0,81.0,110.0,74.0,125.0,67.0,211.0,169.0,146.0,151.0,731.0,2015.0
185,13121009900,2106.0,47.0,22.0,56.0,0.0,56.0,62.0,107.0,98.0,70.0,134.0,48.0,157.0,156.0,127.0,191.0,775.0,2016.0
186,13121009900,2158.0,36.0,65.0,33.0,0.0,37.0,49.0,73.0,64.0,85.0,123.0,101.0,243.0,174.0,166.0,171.0,738.0,2017.0
187,13121010303,3260.0,109.0,129.0,114.0,97.0,122.0,125.0,192.0,177.0,60.0,216.0,295.0,534.0,251.0,432.0,245.0,162.0,2012.0
188,13121010303,3352.0,202.0,155.0,147.0,118.0,105.0,132.0,241.0,164.0,40.0,233.0,250.0,601.0,286.0,283.0,240.0,155.0,2013.0
189,13121010303,3542.0,203.0,152.0,95.0,115.0,120.0,223.0,306.0,167.0,99.0,192.0,200.0,598.0,234.0,322.0,316.0,200.0,2014.0
190,13121010303,3462.0,212.0,178.0,70.0,63.0,95.0,241.0,290.0,263.0,64.0,305.0,236.0,408.0,241.0,264.0,282.0,250.0,2015.0
191,13121010303,3709.0,256.0,147.0,91.0,49.0,94.0,267.0,242.0,279.0,147.0,232.0,316.0,543.0,259.0,247.0,370.0,170.0,2016.0
192,13121010303,3974.0,264.0,127.0,79.0,63.0,93.0,254.0,301.0,244.0,122.0,352.0,504.0,445.0,287.0,265.0,266.0,308.0,2017.0
193,13121001700,1343.0,288.0,186.0,96.0,16.0,72.0,49.0,23.0,8.0,19.0,99.0,78.0,111.0,143.0,40.0,76.0,39.0,2012.0
194,13121001700,1629.0,351.0,209.0,69.0,28.0,79.0,94.0,2.0,43.0,25.0,72.0,131.0,179.0,112.0,92.0,70.0,73.0,2013.0
195,13121001700,1721.0,416.0,115.0,79.0,38.0,66.0,143.0,34.0,50.0,25.0,167.0,129.0,217.0,69.0,65.0,75.0,33.0,2014.0
196,13121001700,1908.0,373.0,83.0,79.0,38.0,112.0,106.0,55.0,86.0,50.0,200.0,180.0,218.0,98.0,76.0,111.0,43.0,2015.0
197,13121001700,2119.0,275.0,39.0,94.0,60.0,110.0,83.0,95.0,93.0,61.0,284.0,197.0,221.0,136.0,72.0,146.0,153.0,2016.0
198,13121001700,2260.0,200.0,108.0,59.0,62.0,112.0,67.0,96.0,61.0,67.0,297.0,175.0,266.0,184.0,171.0,131.0,204.0,2017.0
199,13121000600,2049.0,392.0,129.0,58.0,79.0,103.0,100.0,29.0,213.0,65.0,143.0,206.0,93.0,128.0,121.0,66.0,124.0,2012.0
200,13121000600,2109.0,394.0,98.0,51.0,57.0,100.0,99.0,48.0,299.0,47.0,182.0,207.0,127.0,108.0,136.0,113.0,43.0,2013.0
201,13121000600,2179.0,408.0,58.0,50.0,48.0,153.0,85.0,36.0,288.0,77.0,167.0,218.0,175.0,107.0,94.0,185.0,30.0,2014.0
202,13121000600,2132.0,527.0,60.0,69.0,45.0,114.0,85.0,58.0,263.0,102.0,107.0,237.0,112.0,163.0,53.0,137.0,0.0,2015.0
203,13121000600,2106.0,394.0,78.0,73.0,103.0,79.0,103.0,65.0,178.0,111.0,187.0,193.0,184.0,186.0,51.0,121.0,0.0,2016.0
204,13121000600,2383.0,358.0,108.0,96.0,72.0,112.0,78.0,108.0,136.0,89.0,239.0,259.0,208.0,198.0,49.0,183.0,90.0,2017.0
205,13121000200,2711.0,60.0,71.0,74.0,57.0,189.0,120.0,28.0,29.0,96.0,120.0,236.0,424.0,205.0,150.0,298.0,554.0,2012.0
206,13121000200,2779.0,68.0,72.0,68.0,95.0,98.0,97.0,24.0,37.0,118.0,147.0,242.0,336.0,295.0,114.0,372.0,596.0,2013.0
207,13121000200,2754.0,56.0,85.0,67.0,124.0,43.0,24.0,75.0,39.0,107.0,176.0,214.0,345.0,305.0,141.0,396.0,557.0,2014.0
208,13121000200,2925.0,10.0,79.0,48.0,109.0,34.0,52.0,91.0,38.0,90.0,240.0,219.0,419.0,326.0,110.0,387.0,673.0,2015.0
209,13121000200,2897.0,32.0,78.0,29.0,56.0,76.0,94.0,92.0,40.0,73.0,257.0,173.0,288.0,374.0,121.0,327.0,787.0,2016.0
210,13121000200,2777.0,32.0,56.0,26.0,24.0,70.0,94.0,52.0,68.0,12.0,330.0,157.0,248.0,304.0,67.0,381.0,856.0,2017.0
211,13121000400,998.0,22.0,10.0,0.0,85.0,0.0,7.0,0.0,19.0,74.0,51.0,149.0,43.0,134.0,92.0,157.0,155.0,2012.0
212,13121000400,948.0,16.0,17.0,0.0,70.0,0.0,21.0,21.0,19.0,55.0,16.0,119.0,91.0,104.0,119.0,108.0,172.0,2013.0
213,13121000400,874.0,22.0,10.0,0.0,16.0,0.0,26.0,37.0,8.0,67.0,52.0,118.0,97.0,107.0,97.0,40.0,177.0,2014.0
214,13121000400,813.0,16.0,6.0,10.0,14.0,0.0,25.0,71.0,18.0,35.0,62.0,63.0,86.0,104.0,103.0,42.0,158.0,2015.0
215,13121000400,865.0,16.0,6.0,34.0,15.0,0.0,32.0,73.0,26.0,25.0,62.0,81.0,70.0,97.0,53.0,72.0,203.0,2016.0
216,13121000400,934.0,29.0,7.0,34.0,12.0,14.0,31.0,65.0,25.0,11.0,24.0,122.0,119.0,73.0,54.0,102.0,212.0,2017.0
217,13121000100,1848.0,45.0,47.0,62.0,25.0,22.0,129.0,25.0,0.0,36.0,106.0,133.0,110.0,211.0,109.0,145.0,643.0,2012.0
218,13121000100,1877.0,60.0,34.0,65.0,39.0,6.0,136.0,0.0,8.0,17.0,137.0,158.0,129.0,140.0,135.0,138.0,675.0,2013.0
219,13121000100,1807.0,68.0,31.0,56.0,34.0,5.0,44.0,56.0,19.0,25.0,94.0,147.0,157.0,134.0,179.0,132.0,626.0,2014.0
220,13121000100,1847.0,68.0,10.0,7.0,30.0,7.0,50.0,65.0,23.0,43.0,137.0,73.0,173.0,106.0,189.0,208.0,658.0,2015.0
221,13121000100,1856.0,69.0,9.0,5.0,32.0,7.0,46.0,41.0,42.0,41.0,123.0,99.0,179.0,154.0,141.0,239.0,629.0,2016.0
222,13121000100,1969.0,10.0,21.0,6.0,22.0,0.0,51.0,10.0,57.0,25.0,109.0,92.0,219.0,179.0,189.0,217.0,762.0,2017.0
223,13121010206,1905.0,100.0,9.0,0.0,44.0,0.0,8.0,87.0,8.0,39.0,49.0,115.0,140.0,173.0,81.0,202.0,850.0,2012.0
224,13121010206,1979.0,94.0,8.0,0.0,7.0,10.0,38.0,72.0,14.0,40.0,90.0,120.0,153.0,197.0,110.0,179.0,847.0,2013.0
225,13121010206,2014.0,86.0,0.0,15.0,0.0,9.0,33.0,73.0,17.0,42.0,85.0,113.0,119.0,181.0,184.0,183.0,874.0,2014.0
226,13121010206,2116.0,60.0,0.0,14.0,16.0,9.0,53.0,67.0,72.0,42.0,95.0,85.0,131.0,146.0,184.0,186.0,956.0,2015.0
227,13121010206,2228.0,33.0,7.0,7.0,14.0,16.0,22.0,90.0,77.0,46.0,61.0,81.0,132.0,187.0,185.0,217.0,1053.0,2016.0
228,13121010206,2328.0,48.0,7.0,0.0,8.0,26.0,23.0,41.0,63.0,75.0,65.0,76.0,180.0,177.0,240.0,209.0,1090.0,2017.0
229,13121006602,410.0,173.0,69.0,9.0,5.0,55.0,38.0,10.0,3.0,29.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,2012.0
230,13121006602,367.0,124.0,97.0,11.0,27.0,40.0,28.0,13.0,2.0,6.0,6.0,3.0,10.0,0.0,0.0,0.0,0.0,2013.0
231,13121006602,401.0,121.0,98.0,31.0,48.0,15.0,30.0,15.0,0.0,9.0,7.0,8.0,19.0,0.0,0.0,0.0,0.0,2014.0
232,13121006602,421.0,102.0,93.0,50.0,51.0,14.0,16.0,27.0,0.0,13.0,7.0,11.0,23.0,4.0,10.0,0.0,0.0,2015.0
233,13121006602,436.0,107.0,93.0,42.0,52.0,12.0,30.0,26.0,0.0,10.0,11.0,12.0,27.0,6.0,8.0,0.0,0.0,2016.0
234,13121006602,441.0,90.0,85.0,44.0,43.0,46.0,25.0,23.0,27.0,3.0,4.0,12.0,22.0,9.0,7.0,1.0,0.0,2017.0
235,13121002900,1085.0,136.0,19.0,53.0,26.0,18.0,9.0,30.0,113.0,45.0,89.0,166.0,164.0,78.0,27.0,75.0,37.0,2012.0
236,13121002900,1179.0,87.0,25.0,117.0,0.0,42.0,0.0,44.0,69.0,38.0,151.0,116.0,224.0,106.0,53.0,74.0,33.0,2013.0
237,13121002900,1340.0,103.0,30.0,75.0,55.0,34.0,18.0,6.0,122.0,67.0,148.0,138.0,285.0,79.0,58.0,96.0,26.0,2014.0
238,13121002900,1323.0,126.0,34.0,48.0,20.0,43.0,39.0,2.0,110.0,54.0,191.0,141.0,232.0,99.0,54.0,73.0,57.0,2015.0
239,13121002900,1247.0,93.0,50.0,36.0,11.0,49.0,38.0,18.0,118.0,16.0,193.0,106.0,154.0,146.0,70.0,48.0,101.0,2016.0
240,13121002900,1266.0,73.0,38.0,62.0,10.0,45.0,53.0,38.0,56.0,28.0,192.0,143.0,156.0,136.0,93.0,38.0,105.0,2017.0
241,13121007705,1981.0,309.0,233.0,306.0,180.0,95.0,167.0,193.0,26.0,37.0,106.0,148.0,122.0,9.0,23.0,8.0,19.0,2012.0
242,13121007705,1934.0,347.0,324.0,252.0,188.0,107.0,109.0,56.0,155.0,28.0,78.0,109.0,105.0,7.0,21.0,9.0,39.0,2013.0
243,13121007705,1960.0,443.0,327.0,241.0,136.0,135.0,73.0,39.0,161.0,0.0,74.0,119.0,111.0,30.0,32.0,8.0,31.0,2014.0
244,13121007705,1926.0,334.0,300.0,237.0,242.0,163.0,60.0,48.0,154.0,24.0,62.0,123.0,69.0,60.0,33.0,11.0,6.0,2015.0
245,13121007705,1871.0,338.0,303.0,257.0,215.0,133.0,56.0,48.0,53.0,31.0,66.0,144.0,129.0,40.0,42.0,16.0,0.0,2016.0
246,13121007705,1772.0,327.0,277.0,199.0,188.0,153.0,58.0,76.0,78.0,52.0,56.0,101.0,102.0,75.0,17.0,7.0,6.0,2017.0
247,13121009603,2023.0,242.0,125.0,81.0,13.0,54.0,158.0,54.0,94.0,142.0,120.0,189.0,211.0,134.0,57.0,115.0,234.0,2012.0
248,13121009603,2068.0,240.0,85.0,76.0,13.0,34.0,218.0,45.0,96.0,138.0,93.0,287.0,205.0,163.0,30.0,117.0,228.0,2013.0
249,13121009603,2146.0,269.0,123.0,27.0,26.0,91.0,120.0,71.0,139.0,112.0,37.0,326.0,178.0,87.0,75.0,116.0,349.0,2014.0
250,13121009603,2294.0,232.0,109.0,46.0,33.0,98.0,102.0,106.0,95.0,109.0,107.0,366.0,197.0,103.0,91.0,109.0,391.0,2015.0
251,13121009603,2631.0,231.0,135.0,103.0,37.0,81.0,105.0,141.0,69.0,101.0,152.0,297.0,273.0,106.0,150.0,207.0,443.0,2016.0
252,13121009603,2691.0,174.0,97.0,29.0,98.0,130.0,104.0,115.0,73.0,51.0,177.0,275.0,341.0,153.0,182.0,137.0,555.0,2017.0
253,13121009601,1264.0,87.0,60.0,0.0,14.0,13.0,55.0,51.0,15.0,11.0,128.0,129.0,131.0,145.0,99.0,80.0,246.0,2012.0
254,13121009601,1268.0,83.0,33.0,25.0,11.0,68.0,56.0,48.0,14.0,31.0,123.0,101.0,138.0,225.0,45.0,82.0,185.0,2013.0
255,13121009601,1330.0,63.0,6.0,5.0,13.0,60.0,48.0,59.0,57.0,11.0,131.0,83.0,207.0,138.0,143.0,101.0,205.0,2014.0
256,13121009601,1279.0,35.0,14.0,10.0,22.0,64.0,42.0,96.0,45.0,27.0,111.0,77.0,174.0,143.0,106.0,107.0,206.0,2015.0
257,13121009601,1349.0,47.0,21.0,12.0,21.0,64.0,14.0,102.0,47.0,27.0,93.0,133.0,166.0,199.0,62.0,130.0,211.0,2016.0
258,13121009601,1388.0,44.0,20.0,10.0,8.0,49.0,2.0,75.0,68.0,27.0,128.0,156.0,124.0,250.0,91.0,111.0,225.0,2017.0
