,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!7-or-more-person households,YEAR
393,13089023425,59966.0,22411.0,81815.0,85201.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
394,13089023426,72250.0,64625.0,78641.0,80893.0,-666666666.0,117841.0,80625.0,-666666666.0,2017.0
395,13089023427,65265.0,61000.0,58208.0,75119.0,88750.0,72619.0,-666666666.0,-666666666.0,2017.0
396,13089023428,39641.0,34197.0,47137.0,36761.0,58644.0,70066.0,-666666666.0,-666666666.0,2017.0
397,13089023501,31591.0,24016.0,32344.0,55227.0,-666666666.0,64063.0,-666666666.0,49402.0,2017.0
398,13089023504,27270.0,21275.0,29383.0,20559.0,40625.0,-666666666.0,15750.0,22763.0,2017.0
399,13089023505,37179.0,29688.0,36042.0,51429.0,43750.0,60625.0,-666666666.0,-666666666.0,2017.0
400,13089023506,42301.0,23794.0,53289.0,40768.0,73750.0,-666666666.0,-666666666.0,69297.0,2017.0
401,13089023507,44385.0,34792.0,38917.0,47286.0,53864.0,56923.0,68854.0,-666666666.0,2017.0
402,13089023601,68217.0,59120.0,70313.0,67830.0,133990.0,-666666666.0,-666666666.0,-666666666.0,2017.0
403,13089023602,39524.0,24000.0,53988.0,55104.0,47639.0,-666666666.0,-666666666.0,-666666666.0,2017.0
404,13089023603,31125.0,24750.0,32778.0,45208.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
405,13089023700,45077.0,19575.0,56701.0,45671.0,51917.0,-666666666.0,-666666666.0,-666666666.0,2017.0
406,13089023801,69036.0,45673.0,55625.0,113804.0,-666666666.0,133750.0,-666666666.0,-666666666.0,2017.0
407,13089023802,41276.0,31277.0,55000.0,85735.0,133636.0,28684.0,-666666666.0,-666666666.0,2017.0
408,13089023803,46055.0,18750.0,53866.0,58942.0,60833.0,-666666666.0,-666666666.0,-666666666.0,2017.0
494,13121000100,149450.0,75769.0,130481.0,162125.0,250001.0,181346.0,-666666666.0,-666666666.0,2017.0
495,13121000200,116094.0,59583.0,152549.0,248125.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
496,13121000400,91857.0,61523.0,134375.0,79107.0,-666666666.0,250001.0,-666666666.0,-666666666.0,2017.0
497,13121000500,85750.0,60184.0,107974.0,205588.0,122788.0,-666666666.0,-666666666.0,-666666666.0,2017.0
498,13121000600,50969.0,45827.0,56833.0,50772.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
499,13121000700,71214.0,51397.0,103250.0,76250.0,151750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
500,13121001001,80132.0,57386.0,104706.0,96146.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
501,13121001002,27250.0,20417.0,49167.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
502,13121001100,99205.0,74547.0,155556.0,249205.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
503,13121001201,58603.0,39643.0,125795.0,150000.0,156316.0,-666666666.0,-666666666.0,-666666666.0,2017.0
504,13121001202,83063.0,69096.0,120375.0,138352.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
505,13121001300,66223.0,46806.0,91750.0,-666666666.0,177750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
506,13121001400,86333.0,62357.0,140446.0,131250.0,155125.0,-666666666.0,-666666666.0,-666666666.0,2017.0
507,13121001500,63464.0,40848.0,100417.0,210865.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
508,13121001600,66806.0,48750.0,83594.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
509,13121001700,60069.0,46474.0,103895.0,50931.0,109583.0,-666666666.0,-666666666.0,-666666666.0,2017.0
510,13121001800,42159.0,39545.0,60288.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
511,13121001900,62222.0,51581.0,155938.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
512,13121002100,51250.0,40341.0,74545.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
513,13121002300,27674.0,19583.0,20938.0,36522.0,-666666666.0,-666666666.0,29196.0,-666666666.0,2017.0
514,13121002400,30972.0,23148.0,34250.0,-666666666.0,55781.0,-666666666.0,60625.0,-666666666.0,2017.0
515,13121002500,26066.0,20846.0,32232.0,16957.0,-666666666.0,61125.0,-666666666.0,-666666666.0,2017.0
516,13121002600,26350.0,21397.0,-666666666.0,30938.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
517,13121002800,26059.0,24338.0,-666666666.0,18948.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
518,13121002900,63112.0,55737.0,78750.0,206250.0,69464.0,-666666666.0,-666666666.0,-666666666.0,2017.0
519,13121003000,94079.0,68542.0,111838.0,221964.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
520,13121003100,46467.0,31875.0,54044.0,83409.0,139904.0,-666666666.0,-666666666.0,-666666666.0,2017.0
521,13121003200,84350.0,67841.0,98750.0,115147.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
522,13121003500,55585.0,50208.0,95750.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
523,13121003600,41372.0,30909.0,54861.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
524,13121003800,22150.0,20350.0,23021.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
525,13121003900,36174.0,22440.0,35278.0,47083.0,47321.0,43438.0,-666666666.0,37875.0,2017.0
