,GEOID,GROSS RENT_Estimate!!Total,GROSS RENT_Estimate!!Total!!With cash rent,GROSS RENT_Estimate!!Total!!With cash rent!!Less than $100,GROSS RENT_Estimate!!Total!!With cash rent!!$100 to $149,GROSS RENT_Estimate!!Total!!With cash rent!!$150 to $199,GROSS RENT_Estimate!!Total!!With cash rent!!$200 to $249,GROSS RENT_Estimate!!Total!!With cash rent!!$250 to $299,GROSS RENT_Estimate!!Total!!With cash rent!!$300 to $349,GROSS RENT_Estimate!!Total!!With cash rent!!$350 to $399,GROSS RENT_Estimate!!Total!!With cash rent!!$400 to $449,GROSS RENT_Estimate!!Total!!With cash rent!!$450 to $499,GROSS RENT_Estimate!!Total!!With cash rent!!$500 to $549,GROSS RENT_Estimate!!Total!!With cash rent!!$550 to $599,GROSS RENT_Estimate!!Total!!With cash rent!!$600 to $649,GROSS RENT_Estimate!!Total!!With cash rent!!$650 to $699,GROSS RENT_Estimate!!Total!!With cash rent!!$700 to $749,GROSS RENT_Estimate!!Total!!With cash rent!!$750 to $799,GROSS RENT_Estimate!!Total!!With cash rent!!$800 to $899,GROSS RENT_Estimate!!Total!!With cash rent!!$900 to $999,"GROSS RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","GROSS RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","GROSS RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","GROSS RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","GROSS RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
19,13089023700,1376.0,1357.0,31.0,21.0,20.0,74.0,0.0,0.0,0.0,0.0,20.0,0.0,41.0,7.0,63.0,60.0,124.0,149.0,164.0,332.0,156.0,60.0,35.0,0.0,2016.0
20,13089023700,1398.0,1398.0,0.0,20.0,0.0,59.0,0.0,0.0,13.0,0.0,0.0,25.0,36.0,10.0,0.0,122.0,89.0,181.0,143.0,430.0,173.0,73.0,24.0,0.0,2017.0
21,13121001300,1330.0,1330.0,0.0,31.0,20.0,69.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,73.0,41.0,44.0,243.0,110.0,305.0,165.0,107.0,52.0,0.0,2014.0
22,13121001300,1286.0,1286.0,0.0,30.0,17.0,68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,62.0,82.0,39.0,203.0,150.0,276.0,181.0,82.0,33.0,26.0,2015.0
23,13121001300,1347.0,1347.0,0.0,27.0,17.0,29.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.0,29.0,94.0,36.0,195.0,174.0,411.0,146.0,83.0,49.0,13.0,2016.0
24,13121001300,1391.0,1391.0,0.0,0.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,82.0,15.0,60.0,153.0,133.0,406.0,223.0,174.0,49.0,27.0,2017.0
25,13121001400,794.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,26.0,33.0,42.0,195.0,249.0,66.0,134.0,11.0,0.0,2014.0
26,13121001400,826.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,15.0,23.0,63.0,205.0,260.0,37.0,157.0,9.0,0.0,2015.0
27,13121001400,775.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,7.0,72.0,116.0,251.0,115.0,135.0,18.0,14.0,2016.0
28,13121001400,711.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,58.0,91.0,215.0,122.0,176.0,16.0,12.0,2017.0
29,13121001800,1942.0,1898.0,36.0,0.0,218.0,121.0,162.0,108.0,74.0,0.0,39.0,48.0,118.0,0.0,0.0,53.0,21.0,21.0,139.0,391.0,238.0,111.0,0.0,44.0,2014.0
30,13121001800,2063.0,2048.0,46.0,0.0,218.0,163.0,161.0,83.0,15.0,0.0,48.0,49.0,109.0,0.0,0.0,91.0,27.0,51.0,173.0,450.0,232.0,132.0,0.0,0.0,2015.0
31,13121001800,2273.0,2253.0,96.0,0.0,205.0,167.0,132.0,77.0,109.0,0.0,45.0,44.0,139.0,61.0,0.0,82.0,0.0,76.0,104.0,496.0,234.0,186.0,0.0,0.0,2016.0
32,13121001800,2138.0,2108.0,59.0,17.0,121.0,214.0,134.0,13.0,93.0,31.0,0.0,92.0,85.0,52.0,0.0,39.0,41.0,53.0,90.0,367.0,405.0,202.0,0.0,0.0,2017.0
33,13121001600,962.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,61.0,0.0,151.0,83.0,162.0,295.0,176.0,0.0,0.0,2014.0
34,13121001600,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,15.0,63.0,32.0,128.0,76.0,133.0,312.0,196.0,0.0,0.0,2015.0
35,13121001600,1016.0,1016.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,19.0,49.0,25.0,127.0,65.0,164.0,278.0,237.0,9.0,0.0,2016.0
36,13121001600,1002.0,1002.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,28.0,15.0,54.0,73.0,83.0,152.0,196.0,302.0,50.0,0.0,2017.0
37,13121001500,1523.0,1510.0,0.0,0.0,12.0,53.0,43.0,0.0,30.0,14.0,46.0,0.0,13.0,24.0,97.0,77.0,112.0,224.0,102.0,386.0,139.0,119.0,19.0,13.0,2014.0
38,13121001500,1721.0,1687.0,0.0,0.0,13.0,137.0,36.0,0.0,34.0,27.0,47.0,0.0,29.0,12.0,139.0,60.0,85.0,246.0,110.0,395.0,149.0,137.0,31.0,0.0,2015.0
39,13121001500,1663.0,1627.0,0.0,0.0,25.0,106.0,53.0,0.0,16.0,25.0,44.0,0.0,25.0,10.0,136.0,90.0,74.0,196.0,91.0,386.0,191.0,118.0,17.0,14.0,2016.0
40,13121001500,1547.0,1516.0,0.0,0.0,34.0,106.0,50.0,0.0,0.0,0.0,14.0,0.0,15.0,32.0,65.0,190.0,80.0,105.0,138.0,314.0,177.0,121.0,31.0,15.0,2017.0
41,13121001900,887.0,862.0,0.0,3.0,3.0,39.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,18.0,49.0,19.0,107.0,232.0,256.0,34.0,31.0,25.0,2014.0
42,13121001900,875.0,841.0,0.0,3.0,2.0,9.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,19.0,35.0,22.0,118.0,250.0,239.0,66.0,16.0,21.0,2015.0
