,GEOID,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total,"HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$50,000 to $74,999",YEAR
286,13089021216,3242.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,25.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,18.0,90.0,0.0,563.0,0.0,0.0,168.0,84.0,155.0,68.0,88.0,0.0,670.0,2017.0
287,13089021217,354.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,51.0,0.0,0.0,0.0,0.0,12.0,29.0,10.0,0.0,40.0,0.0,0.0,0.0,34.0,0.0,6.0,0.0,0.0,98.0,2017.0
288,13089021218,2149.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,89.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,265.0,0.0,0.0,27.0,0.0,35.0,63.0,122.0,18.0,363.0,0.0,11.0,13.0,132.0,61.0,63.0,0.0,83.0,593.0,2017.0
289,13089021301,1257.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,40.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,160.0,0.0,29.0,0.0,21.0,21.0,33.0,56.0,0.0,195.0,35.0,0.0,88.0,25.0,47.0,0.0,0.0,0.0,291.0,2017.0
290,13089021303,1022.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,17.0,126.0,0.0,0.0,0.0,14.0,6.0,37.0,62.0,7.0,290.0,0.0,36.0,61.0,17.0,21.0,47.0,108.0,0.0,219.0,20.0,34.0,77.0,49.0,28.0,0.0,0.0,11.0,192.0,2017.0
291,13089021305,983.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,401.0,0.0,0.0,0.0,31.0,103.0,204.0,63.0,0.0,172.0,16.0,43.0,23.0,81.0,0.0,9.0,0.0,0.0,171.0,2017.0
292,13089021306,1243.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,20.0,72.0,0.0,0.0,7.0,0.0,0.0,0.0,65.0,0.0,262.0,0.0,0.0,28.0,0.0,31.0,150.0,39.0,14.0,361.0,16.0,58.0,110.0,114.0,33.0,30.0,0.0,0.0,249.0,2017.0
293,13089021307,475.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,57.0,0.0,0.0,0.0,7.0,0.0,0.0,50.0,0.0,106.0,9.0,0.0,25.0,25.0,0.0,47.0,0.0,0.0,126.0,2017.0
294,13089021308,721.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,140.0,0.0,25.0,11.0,0.0,0.0,34.0,70.0,0.0,131.0,0.0,0.0,19.0,0.0,0.0,48.0,57.0,7.0,230.0,0.0,6.0,138.0,39.0,0.0,47.0,0.0,0.0,44.0,2017.0
295,13089021405,532.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,25.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,2017.0
296,13089021409,1140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,300.0,0.0,0.0,27.0,71.0,47.0,112.0,43.0,0.0,202.0,0.0,14.0,65.0,54.0,0.0,58.0,11.0,0.0,233.0,2017.0
297,13089021410,1242.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,60.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,210.0,0.0,0.0,0.0,44.0,0.0,57.0,109.0,0.0,316.0,0.0,23.0,83.0,110.0,57.0,30.0,13.0,0.0,234.0,2017.0
298,13089021411,1113.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,94.0,0.0,0.0,0.0,0.0,0.0,50.0,38.0,6.0,50.0,0.0,0.0,0.0,0.0,6.0,7.0,37.0,0.0,169.0,0.0,9.0,7.0,22.0,34.0,57.0,40.0,0.0,171.0,2017.0
299,13089021412,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,8.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,6.0,0.0,28.0,0.0,0.0,0.0,0.0,70.0,2017.0
300,13089021413,1025.0,79.0,0.0,0.0,7.0,0.0,0.0,0.0,66.0,6.0,166.0,0.0,0.0,0.0,0.0,0.0,13.0,153.0,0.0,240.0,0.0,0.0,15.0,50.0,87.0,51.0,37.0,0.0,182.0,10.0,54.0,18.0,47.0,21.0,32.0,0.0,0.0,190.0,2017.0
301,13089021414,1495.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,13.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,392.0,0.0,0.0,20.0,29.0,55.0,87.0,184.0,17.0,319.0,0.0,0.0,50.0,142.0,83.0,44.0,0.0,0.0,343.0,2017.0
302,13089021415,828.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,9.0,43.0,0.0,106.0,8.0,0.0,17.0,51.0,10.0,20.0,0.0,0.0,177.0,2017.0
303,13089021416,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,22.0,77.0,0.0,112.0,0.0,0.0,0.0,55.0,44.0,13.0,0.0,0.0,41.0,0.0,8.0,26.0,7.0,0.0,0.0,0.0,0.0,47.0,2017.0
304,13089021417,1828.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,438.0,0.0,0.0,0.0,28.0,53.0,242.0,115.0,0.0,391.0,0.0,26.0,64.0,165.0,130.0,6.0,0.0,0.0,386.0,2017.0
305,13089021502,1287.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,211.0,0.0,0.0,0.0,44.0,43.0,11.0,113.0,0.0,239.0,18.0,13.0,78.0,106.0,14.0,10.0,0.0,0.0,273.0,2017.0
306,13089021503,857.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,262.0,0.0,0.0,22.0,23.0,28.0,127.0,62.0,0.0,119.0,0.0,26.0,58.0,16.0,10.0,0.0,0.0,9.0,117.0,2017.0
307,13089021504,1690.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,42.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,338.0,0.0,0.0,0.0,15.0,0.0,93.0,230.0,0.0,185.0,0.0,0.0,26.0,16.0,42.0,85.0,0.0,16.0,364.0,2017.0
308,13089021602,716.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,52.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,0.0,193.0,0.0,15.0,65.0,65.0,39.0,9.0,0.0,0.0,177.0,2017.0
309,13089021603,1594.0,145.0,0.0,0.0,11.0,0.0,0.0,0.0,32.0,102.0,160.0,14.0,10.0,36.0,13.0,0.0,0.0,87.0,0.0,204.0,0.0,0.0,0.0,12.0,0.0,59.0,133.0,0.0,338.0,13.0,57.0,19.0,62.0,71.0,14.0,102.0,0.0,402.0,2017.0
310,13089021604,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2017.0
311,13089021605,1544.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,22.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,214.0,0.0,0.0,0.0,36.0,41.0,106.0,31.0,0.0,245.0,0.0,28.0,60.0,56.0,50.0,51.0,0.0,0.0,188.0,2017.0
312,13089021703,132.0,43.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,19.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,10.0,0.0,0.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
313,13089021704,487.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,19.0,120.0,0.0,0.0,70.0,0.0,0.0,0.0,50.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,49.0,2017.0
314,13089021705,1344.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,150.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,341.0,0.0,22.0,0.0,64.0,24.0,195.0,36.0,0.0,285.0,10.0,25.0,136.0,39.0,10.0,44.0,13.0,8.0,192.0,2017.0
315,13089021706,846.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,29.0,0.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,13.0,50.0,32.0,12.0,218.0,0.0,24.0,123.0,8.0,36.0,7.0,20.0,0.0,227.0,2017.0
316,13089021805,593.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,84.0,0.0,0.0,0.0,0.0,0.0,58.0,26.0,0.0,244.0,34.0,0.0,0.0,11.0,56.0,48.0,80.0,15.0,79.0,0.0,0.0,0.0,0.0,35.0,44.0,0.0,0.0,87.0,2017.0
317,13089021806,1376.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,33.0,151.0,0.0,0.0,0.0,0.0,0.0,18.0,133.0,0.0,460.0,0.0,0.0,0.0,92.0,19.0,298.0,51.0,0.0,298.0,0.0,59.0,112.0,52.0,42.0,33.0,0.0,0.0,152.0,2017.0
318,13089021808,503.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,177.0,0.0,0.0,0.0,0.0,9.0,88.0,80.0,0.0,47.0,0.0,0.0,13.0,10.0,24.0,0.0,0.0,0.0,90.0,2017.0
319,13089021809,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,61.0,82.0,0.0,41.0,0.0,15.0,0.0,14.0,0.0,0.0,0.0,12.0,35.0,2017.0
320,13089021810,985.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,0.0,78.0,0.0,31.0,13.0,0.0,0.0,34.0,0.0,0.0,284.0,2017.0
321,13089021812,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,11.0,45.0,0.0,72.0,0.0,0.0,0.0,11.0,7.0,17.0,37.0,0.0,39.0,0.0,0.0,9.0,14.0,1.0,15.0,0.0,0.0,66.0,2017.0
322,13089021813,1113.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,166.0,0.0,0.0,0.0,0.0,0.0,24.0,142.0,0.0,325.0,0.0,7.0,25.0,28.0,79.0,88.0,98.0,0.0,254.0,34.0,40.0,76.0,44.0,50.0,10.0,0.0,0.0,262.0,2017.0
323,13089021814,1425.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,48.0,274.0,15.0,0.0,0.0,0.0,0.0,9.0,229.0,21.0,607.0,0.0,0.0,143.0,65.0,105.0,197.0,97.0,0.0,144.0,26.0,43.0,37.0,26.0,0.0,0.0,12.0,0.0,194.0,2017.0
324,13089021906,749.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,18.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,149.0,0.0,0.0,0.0,13.0,34.0,52.0,50.0,0.0,229.0,0.0,0.0,71.0,20.0,80.0,46.0,0.0,12.0,69.0,2017.0
325,13089021907,1276.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,203.0,0.0,0.0,0.0,0.0,13.0,13.0,177.0,0.0,230.0,0.0,0.0,0.0,13.0,78.0,77.0,62.0,0.0,455.0,10.0,60.0,202.0,13.0,22.0,61.0,87.0,0.0,244.0,2017.0
326,13089021908,1525.0,218.0,14.0,0.0,29.0,0.0,0.0,0.0,144.0,31.0,365.0,15.0,0.0,31.0,26.0,12.0,48.0,233.0,0.0,329.0,10.0,66.0,28.0,0.0,53.0,65.0,107.0,0.0,331.0,0.0,141.0,125.0,45.0,20.0,0.0,0.0,0.0,224.0,2017.0
327,13089021909,1826.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,14.0,263.0,0.0,0.0,18.0,6.0,0.0,9.0,230.0,0.0,483.0,3.0,0.0,9.0,94.0,93.0,116.0,129.0,39.0,452.0,21.0,135.0,76.0,80.0,95.0,45.0,0.0,0.0,164.0,2017.0
328,13089021910,1051.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,52.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,335.0,0.0,21.0,0.0,19.0,77.0,175.0,43.0,0.0,159.0,0.0,18.0,34.0,79.0,28.0,0.0,0.0,0.0,186.0,2017.0
329,13089021911,700.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,18.0,233.0,0.0,0.0,0.0,0.0,0.0,66.0,167.0,0.0,204.0,0.0,0.0,0.0,45.0,55.0,85.0,19.0,0.0,87.0,0.0,30.0,39.0,18.0,0.0,0.0,0.0,0.0,56.0,2017.0
330,13089021912,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2017.0
331,13089021913,1830.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,110.0,319.0,0.0,0.0,0.0,45.0,0.0,0.0,274.0,0.0,561.0,0.0,0.0,100.0,149.0,110.0,89.0,88.0,25.0,332.0,148.0,94.0,46.0,10.0,34.0,0.0,0.0,0.0,278.0,2017.0
332,13089022001,657.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,145.0,0.0,0.0,33.0,0.0,8.0,51.0,53.0,0.0,85.0,0.0,9.0,20.0,37.0,9.0,10.0,0.0,0.0,156.0,2017.0
333,13089022004,459.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,0.0,112.0,0.0,0.0,0.0,40.0,0.0,14.0,48.0,10.0,118.0,0.0,23.0,21.0,50.0,0.0,18.0,6.0,0.0,128.0,2017.0
334,13089022005,1076.0,174.0,21.0,0.0,9.0,0.0,0.0,0.0,81.0,63.0,124.0,7.0,0.0,8.0,0.0,0.0,30.0,79.0,0.0,352.0,0.0,41.0,43.0,84.0,69.0,80.0,35.0,0.0,191.0,31.0,49.0,48.0,54.0,0.0,9.0,0.0,0.0,100.0,2017.0
335,13089022007,1044.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,44.0,157.0,0.0,0.0,0.0,0.0,15.0,24.0,118.0,0.0,303.0,12.0,6.0,46.0,23.0,53.0,102.0,61.0,0.0,225.0,16.0,34.0,68.0,81.0,18.0,8.0,0.0,0.0,152.0,2017.0
336,13089022008,1927.0,392.0,0.0,14.0,0.0,0.0,0.0,0.0,332.0,46.0,416.0,0.0,0.0,0.0,35.0,15.0,18.0,334.0,14.0,491.0,0.0,35.0,126.0,94.0,39.0,158.0,39.0,0.0,298.0,22.0,0.0,189.0,44.0,0.0,43.0,0.0,0.0,225.0,2017.0
337,13089022009,1657.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,36.0,230.0,0.0,356.0,0.0,21.0,26.0,44.0,49.0,158.0,58.0,0.0,334.0,0.0,104.0,143.0,49.0,38.0,0.0,0.0,0.0,339.0,2017.0
338,13089022010,235.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,60.0,0.0,0.0,11.0,5.0,24.0,5.0,15.0,0.0,25.0,4.0,13.0,2.0,6.0,0.0,0.0,0.0,0.0,43.0,2017.0
339,13089022100,736.0,93.0,0.0,17.0,23.0,0.0,0.0,0.0,42.0,11.0,127.0,0.0,0.0,0.0,0.0,31.0,43.0,53.0,0.0,233.0,13.0,22.0,41.0,88.0,28.0,22.0,19.0,0.0,89.0,22.0,10.0,22.0,25.0,10.0,0.0,0.0,0.0,155.0,2017.0
340,13089022203,872.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,20.0,86.0,12.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,118.0,18.0,0.0,0.0,0.0,0.0,35.0,65.0,0.0,173.0,0.0,39.0,84.0,15.0,6.0,16.0,13.0,0.0,173.0,2017.0
341,13089022204,1904.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,30.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,309.0,0.0,0.0,0.0,0.0,74.0,218.0,17.0,0.0,563.0,0.0,100.0,165.0,190.0,83.0,6.0,0.0,19.0,408.0,2017.0
342,13089022301,1273.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,146.0,259.0,15.0,0.0,0.0,0.0,0.0,27.0,188.0,29.0,99.0,0.0,0.0,0.0,69.0,0.0,12.0,18.0,0.0,117.0,0.0,27.0,30.0,31.0,16.0,0.0,0.0,13.0,306.0,2017.0
343,13089022302,1063.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,76.0,0.0,12.0,13.0,0.0,13.0,11.0,27.0,0.0,189.0,0.0,35.0,26.0,120.0,0.0,8.0,0.0,0.0,246.0,2017.0
344,13089022401,832.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,20.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,150.0,0.0,0.0,0.0,27.0,0.0,0.0,88.0,35.0,255.0,0.0,36.0,64.0,20.0,62.0,41.0,32.0,0.0,125.0,2017.0
345,13089022402,780.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,112.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,42.0,63.0,0.0,126.0,0.0,0.0,5.0,35.0,38.0,22.0,18.0,8.0,99.0,2017.0
346,13089022403,190.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,72.0,2017.0
347,13089022500,922.0,301.0,0.0,0.0,117.0,101.0,18.0,0.0,65.0,0.0,34.0,0.0,0.0,15.0,0.0,12.0,7.0,0.0,0.0,241.0,15.0,0.0,81.0,0.0,47.0,26.0,35.0,37.0,136.0,63.0,0.0,11.0,36.0,12.0,0.0,0.0,14.0,98.0,2017.0
348,13089022600,1163.0,131.0,14.0,0.0,0.0,56.0,0.0,0.0,47.0,14.0,173.0,0.0,13.0,40.0,0.0,0.0,0.0,120.0,0.0,277.0,0.0,15.0,0.0,98.0,29.0,66.0,57.0,12.0,137.0,25.0,39.0,20.0,40.0,13.0,0.0,0.0,0.0,135.0,2017.0
