,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
181,13121004200,19055.0,2014.0
182,13121004200,19375.0,2015.0
183,13121004200,17843.0,2016.0
184,13121004200,18569.0,2017.0
185,13121009101,67351.0,2010.0
186,13121009101,72608.0,2011.0
187,13121009101,66983.0,2012.0
188,13121009101,71691.0,2013.0
189,13121009101,69750.0,2014.0
190,13121009101,71145.0,2015.0
191,13121009101,73651.0,2016.0
192,13121009101,76981.0,2017.0
193,13121008904,63682.0,2010.0
194,13121008904,61949.0,2011.0
195,13121008904,63956.0,2012.0
196,13121008904,70787.0,2013.0
197,13121008904,68098.0,2014.0
198,13121008904,73894.0,2015.0
199,13121008904,77055.0,2016.0
200,13121008904,78924.0,2017.0
201,13121003700,10781.0,2010.0
202,13121003700,17132.0,2011.0
203,13121003700,-666666666.0,2012.0
204,13121003700,-666666666.0,2013.0
205,13121003700,-666666666.0,2014.0
206,13121003700,12411.0,2015.0
207,13121003700,23839.0,2016.0
208,13121003700,22679.0,2017.0
209,13121010211,75925.0,2010.0
210,13121010211,104167.0,2011.0
211,13121010211,108654.0,2012.0
212,13121010211,125417.0,2013.0
213,13121010211,158209.0,2014.0
214,13121010211,134048.0,2015.0
215,13121010211,155469.0,2016.0
216,13121010211,138393.0,2017.0
217,13121012000,21597.0,2010.0
218,13121012000,20750.0,2011.0
219,13121012000,16941.0,2012.0
220,13121012000,12475.0,2013.0
221,13121012000,12333.0,2014.0
222,13121012000,17558.0,2015.0
223,13121012000,19841.0,2016.0
224,13121012000,28902.0,2017.0
225,13121009000,125893.0,2010.0
226,13121009000,113878.0,2011.0
227,13121009000,115110.0,2012.0
228,13121009000,103387.0,2013.0
229,13121009000,104038.0,2014.0
230,13121009000,101818.0,2015.0
231,13121009000,104459.0,2016.0
232,13121009000,105197.0,2017.0
233,13121007002,25609.0,2010.0
234,13121007002,26944.0,2011.0
235,13121007002,23589.0,2012.0
236,13121007002,19943.0,2013.0
237,13121007002,25496.0,2014.0
238,13121007002,26329.0,2015.0
239,13121007002,33536.0,2016.0
240,13121007002,34286.0,2017.0
241,13121009900,115903.0,2010.0
242,13121009900,113667.0,2011.0
243,13121009900,116533.0,2012.0
244,13121009900,110865.0,2013.0
245,13121009900,108800.0,2014.0
246,13121009900,112589.0,2015.0
247,13121009900,133438.0,2016.0
248,13121009900,124643.0,2017.0
249,13121010303,69714.0,2010.0
250,13121010303,70961.0,2011.0
251,13121010303,74854.0,2012.0
252,13121010303,71333.0,2013.0
253,13121010303,70352.0,2014.0
254,13121010303,56698.0,2015.0
255,13121010303,61804.0,2016.0
256,13121010303,63209.0,2017.0
257,13121001700,34942.0,2010.0
258,13121001700,29659.0,2011.0
259,13121001700,30767.0,2012.0
260,13121001700,32847.0,2013.0
261,13121001700,35337.0,2014.0
262,13121001700,46571.0,2015.0
263,13121001700,54348.0,2016.0
264,13121001700,60069.0,2017.0
265,13121000600,47125.0,2010.0
266,13121000600,47257.0,2011.0
267,13121000600,42335.0,2012.0
268,13121000600,43570.0,2013.0
269,13121000600,44612.0,2014.0
270,13121000600,43146.0,2015.0
271,13121000600,44554.0,2016.0
272,13121000600,50969.0,2017.0
273,13121000200,88021.0,2010.0
274,13121000200,83406.0,2011.0
275,13121000200,88698.0,2012.0
276,13121000200,94125.0,2013.0
277,13121000200,101100.0,2014.0
278,13121000200,100985.0,2015.0
279,13121000200,106045.0,2016.0
280,13121000200,116094.0,2017.0
281,13121000400,100125.0,2010.0
282,13121000400,106528.0,2011.0
283,13121000400,106136.0,2012.0
284,13121000400,105938.0,2013.0
285,13121000400,92273.0,2014.0
286,13121000400,102560.0,2015.0
287,13121000400,92361.0,2016.0
288,13121000400,91857.0,2017.0
289,13121000100,114922.0,2010.0
290,13121000100,125792.0,2011.0
291,13121000100,123676.0,2012.0
292,13121000100,125819.0,2013.0
293,13121000100,128578.0,2014.0
294,13121000100,139487.0,2015.0
295,13121000100,138276.0,2016.0
296,13121000100,149450.0,2017.0
297,13121010206,207500.0,2010.0
298,13121010206,207734.0,2011.0
299,13121010206,163456.0,2012.0
300,13121010206,160223.0,2013.0
301,13121010206,163194.0,2014.0
302,13121010206,168214.0,2015.0
303,13121010206,184400.0,2016.0
304,13121010206,177188.0,2017.0
305,13121006602,13269.0,2010.0
306,13121006602,14375.0,2011.0
307,13121006602,12051.0,2012.0
308,13121006602,12439.0,2013.0
309,13121006602,13872.0,2014.0
310,13121006602,16761.0,2015.0
311,13121006602,17857.0,2016.0
312,13121006602,20170.0,2017.0
313,13121002900,52426.0,2010.0
314,13121002900,51375.0,2011.0
315,13121002900,61250.0,2012.0
316,13121002900,64671.0,2013.0
317,13121002900,60667.0,2014.0
318,13121002900,59276.0,2015.0
319,13121002900,60083.0,2016.0
320,13121002900,63112.0,2017.0
321,13121007705,26349.0,2010.0
322,13121007705,23317.0,2011.0
323,13121007705,24053.0,2012.0
324,13121007705,21170.0,2013.0
325,13121007705,19248.0,2014.0
326,13121007705,21949.0,2015.0
327,13121007705,20756.0,2016.0
328,13121007705,22592.0,2017.0
329,13121009603,55291.0,2010.0
330,13121009603,54034.0,2011.0
331,13121009603,56272.0,2012.0
332,13121009603,59800.0,2013.0
333,13121009603,61908.0,2014.0
334,13121009603,62866.0,2015.0
335,13121009603,67063.0,2016.0
336,13121009603,75987.0,2017.0
337,13121009601,66042.0,2010.0
338,13121009601,76134.0,2011.0
339,13121009601,90982.0,2012.0
340,13121009601,88264.0,2013.0
341,13121009601,93026.0,2014.0
342,13121009601,93906.0,2015.0
343,13121009601,93576.0,2016.0
344,13121009601,94265.0,2017.0
345,13121009801,132188.0,2010.0
346,13121009801,109797.0,2011.0
347,13121009801,116599.0,2012.0
348,13121009801,143000.0,2013.0
349,13121009801,132143.0,2014.0
350,13121009801,126447.0,2015.0
351,13121009801,117422.0,2016.0
352,13121009801,105536.0,2017.0
353,13121011900,30000.0,2010.0
354,13121011900,31774.0,2011.0
355,13121011900,30916.0,2012.0
356,13121011900,23791.0,2013.0
357,13121011900,24083.0,2014.0
358,13121011900,28207.0,2015.0
359,13121011900,23185.0,2016.0
360,13121011900,26032.0,2017.0
361,13121001202,72063.0,2010.0
362,13121001202,64747.0,2011.0
363,13121001202,63314.0,2012.0
364,13121001202,65255.0,2013.0
365,13121001202,66670.0,2014.0
366,13121001202,68117.0,2015.0
367,13121001202,75195.0,2016.0
368,13121001202,83063.0,2017.0
369,13121009102,63135.0,2010.0
370,13121009102,59936.0,2011.0
371,13121009102,58470.0,2012.0
372,13121009102,44089.0,2013.0
373,13121009102,53482.0,2014.0
374,13121009102,42247.0,2015.0
375,13121009102,52339.0,2016.0
376,13121009102,54174.0,2017.0
377,13089020802,41607.0,2010.0
378,13089020802,42534.0,2011.0
379,13089020802,42722.0,2012.0
380,13089020802,42679.0,2013.0
381,13089020802,49464.0,2014.0
382,13089020802,51944.0,2015.0
383,13089020802,57422.0,2016.0
384,13089020802,57204.0,2017.0
385,13121001201,49614.0,2010.0
386,13121001201,55588.0,2011.0
387,13121001201,56340.0,2012.0
388,13121001201,53623.0,2013.0
389,13121001201,57250.0,2014.0
390,13121001201,59840.0,2015.0
391,13121001201,55797.0,2016.0
392,13121001201,58603.0,2017.0
393,13121001001,52411.0,2010.0
394,13121001001,55545.0,2011.0
395,13121001001,71216.0,2012.0
396,13121001001,64583.0,2013.0
397,13121001001,67353.0,2014.0
398,13121001001,75375.0,2015.0
399,13121001001,75556.0,2016.0
400,13121001001,80132.0,2017.0
401,13121008903,37546.0,2010.0
402,13121008903,50845.0,2011.0
403,13121008903,58409.0,2012.0
404,13121008903,66635.0,2013.0
405,13121008903,70771.0,2014.0
406,13121008903,62667.0,2015.0
407,13121008903,64323.0,2016.0
408,13121008903,71548.0,2017.0
409,13121004300,28792.0,2010.0
